model,k,D
openai-api/local/mistralai/mistral-7b-instruct,1,0.32477718360071306
openai-api/local/mistralai/mistral-7b-instruct,2,0.3172549019607843
openai-api/local/mistralai/mistral-7b-instruct,3,0.24880174291938995
openai-api/local/mistralai/mistral-7b-instruct,4,0.3245098039215686
openai-api/local/mistralai/mistral-7b-instruct,5,0.19977591036414566
openai-api/local/mistralai/mistral-7b-instruct,6,0.1823529411764706
openai-api/local/mistralai/mistral-7b-instruct,7,0.12963585434173663
openai-api/local/mistralai/mistral-7b-instruct,8,0.028431372549019618
openai-api/local/mistralai/mistral-7b-instruct,9,0.017864923747276662
openai-api/local/mistralai/mistral-7b-instruct,10,-0.0372549019607844
openai-api/local/mistralai/mistral-7b-instruct,11,-0.2520499108734403
openai-api/local/mistralai/mistral-7b-instruct-v0.2,1,0.09411764705882353
openai-api/local/mistralai/mistral-7b-instruct-v0.2,2,0.10352941176470587
openai-api/local/mistralai/mistral-7b-instruct-v0.2,3,0.11503267973856213
openai-api/local/mistralai/mistral-7b-instruct-v0.2,4,0.17941176470588238
openai-api/local/mistralai/mistral-7b-instruct-v0.2,5,0.15865546218487392
openai-api/local/mistralai/mistral-7b-instruct-v0.2,6,0.18300653594771243
openai-api/local/mistralai/mistral-7b-instruct-v0.2,7,0.14924369747899158
openai-api/local/mistralai/mistral-7b-instruct-v0.2,8,0.22058823529411764
openai-api/local/mistralai/mistral-7b-instruct-v0.2,9,0.21089324618736383
openai-api/local/mistralai/mistral-7b-instruct-v0.2,10,0.21647058823529408
openai-api/local/mistralai/mistral-7b-instruct-v0.2,11,-0.16684491978609628
openai-api/local/qwen/qwen-1.5-72b-chat,1,0.054545454545454564
openai-api/local/qwen/qwen-1.5-72b-chat,2,0.020000000000000018
openai-api/local/qwen/qwen-1.5-72b-chat,3,0.007407407407407418
openai-api/local/qwen/qwen-1.5-72b-chat,4,0.025000000000000022
openai-api/local/qwen/qwen-1.5-72b-chat,5,0.040000000000000036
openai-api/local/qwen/qwen-1.5-72b-chat,6,0.05555555555555547
openai-api/local/qwen/qwen-1.5-72b-chat,7,0.05142857142857138
openai-api/local/qwen/qwen-1.5-72b-chat,8,0.07499999999999996
openai-api/local/qwen/qwen-1.5-72b-chat,9,0.11111111111111105
openai-api/local/qwen/qwen-1.5-72b-chat,10,0.14000000000000012
openai-api/local/qwen/qwen-1.5-72b-chat,11,0.018181818181818188
openai-api/local/qwen/qwen1.5-14b-chat,1,-0.016755793226381432
openai-api/local/qwen/qwen1.5-14b-chat,2,0.18156862745098035
openai-api/local/qwen/qwen1.5-14b-chat,3,0.06840958605664488
openai-api/local/qwen/qwen1.5-14b-chat,4,0.0093137254901961
openai-api/local/qwen/qwen1.5-14b-chat,5,0.10543417366946783
openai-api/local/qwen/qwen1.5-14b-chat,6,0.052941176470588214
openai-api/local/qwen/qwen1.5-14b-chat,7,-0.01938375350140059
openai-api/local/qwen/qwen1.5-14b-chat,8,0.12303921568627452
openai-api/local/qwen/qwen1.5-14b-chat,9,0.13899782135076255
openai-api/local/qwen/qwen1.5-14b-chat,10,0.1384313725490196
openai-api/local/qwen/qwen1.5-14b-chat,11,-0.055971479500891264
openai-api/local/qwen/qwen1.5-7b-chat,1,0.350445632798574
openai-api/local/qwen/qwen1.5-7b-chat,2,0.34549019607843146
openai-api/local/qwen/qwen1.5-7b-chat,3,0.22091503267973855
openai-api/local/qwen/qwen1.5-7b-chat,4,0.28480392156862755
openai-api/local/qwen/qwen1.5-7b-chat,5,0.18901960784313732
openai-api/local/qwen/qwen1.5-7b-chat,6,0.17973856209150318
openai-api/local/qwen/qwen1.5-7b-chat,7,0.20358543417366948
openai-api/local/qwen/qwen1.5-7b-chat,8,0.06813725490196076
openai-api/local/qwen/qwen1.5-7b-chat,9,0.07538126361655773
openai-api/local/qwen/qwen1.5-7b-chat,10,0.13450980392156864
openai-api/local/qwen/qwen1.5-7b-chat,11,-0.059536541889482986
openai-api/local/meta-llama/llama-3-70b-instruct,1,-0.042424242424242364
openai-api/local/meta-llama/llama-3-70b-instruct,2,-0.00666666666666671
openai-api/local/meta-llama/llama-3-70b-instruct,3,0.007407407407407418
openai-api/local/meta-llama/llama-3-70b-instruct,4,0.01666666666666672
openai-api/local/meta-llama/llama-3-70b-instruct,5,0.024761904761904763
openai-api/local/meta-llama/llama-3-70b-instruct,6,0.011111111111111072
openai-api/local/meta-llama/llama-3-70b-instruct,7,0.020952380952380945
openai-api/local/meta-llama/llama-3-70b-instruct,8,0.03333333333333344
openai-api/local/meta-llama/llama-3-70b-instruct,9,0.022222222222222143
openai-api/local/meta-llama/llama-3-70b-instruct,10,0.046666666666666634
openai-api/local/meta-llama/llama-3-70b-instruct,11,-0.030303030303030276
openai-api/local/meta-llama/llama-3-8b-instruct,1,0.04135472370766491
openai-api/local/meta-llama/llama-3-8b-instruct,2,0.04549019607843141
openai-api/local/meta-llama/llama-3-8b-instruct,3,0.05054466230936816
openai-api/local/meta-llama/llama-3-8b-instruct,4,0.08186274509803915
openai-api/local/meta-llama/llama-3-8b-instruct,5,-0.09098039215686271
openai-api/local/meta-llama/llama-3-8b-instruct,6,-0.07581699346405224
openai-api/local/meta-llama/llama-3-8b-instruct,7,-0.0421288515406163
openai-api/local/meta-llama/llama-3-8b-instruct,8,-0.056862745098039236
openai-api/local/meta-llama/llama-3-8b-instruct,9,-0.05054466230936816
openai-api/local/meta-llama/llama-3-8b-instruct,10,-0.005490196078431375
openai-api/local/meta-llama/llama-3-8b-instruct,11,-0.11408199643493755
openai-api/local/mistralai/mistral-7b-instruct-v0.3,1,0.0563279857397504
openai-api/local/mistralai/mistral-7b-instruct-v0.3,2,0.10196078431372552
openai-api/local/mistralai/mistral-7b-instruct-v0.3,3,0.06884531590413939
openai-api/local/mistralai/mistral-7b-instruct-v0.3,4,0.17303921568627453
openai-api/local/mistralai/mistral-7b-instruct-v0.3,5,0.08179271708683472
openai-api/local/mistralai/mistral-7b-instruct-v0.3,6,0.09673202614379084
openai-api/local/mistralai/mistral-7b-instruct-v0.3,7,0.09434173669467788
openai-api/local/mistralai/mistral-7b-instruct-v0.3,8,0.047549019607843135
openai-api/local/mistralai/mistral-7b-instruct-v0.3,9,0.020043572984749458
openai-api/local/mistralai/mistral-7b-instruct-v0.3,10,-0.0219607843137255
openai-api/local/mistralai/mistral-7b-instruct-v0.3,11,-0.2017825311942959
openai-api/local/qwen/qwen2-72b-instruct,1,0.035650623885918
openai-api/local/qwen/qwen2-72b-instruct,2,-7.843137254901489e-4
openai-api/local/qwen/qwen2-72b-instruct,3,-0.015686274509803866
openai-api/local/qwen/qwen2-72b-instruct,4,-9.803921568627416e-4
