model_spec,term,estimate,std_error,t,p
coherence (raw) ~ date + size + family,(Intercept),0.05817571755997532,0.025175889981023363,2.3107710434000936,0.031092293947665956
coherence (raw) ~ date + size + family,date_c,-0.03325897377956984,0.018925057589234247,-1.7574040989174915,0.09341944812074453
coherence (raw) ~ date + size + family,log_params_c,-0.027930764181817117,0.015112330283552394,-1.8482102798015043,0.07870487084047911
coherence (raw) ~ date + size + family,familyGPT,-0.04224015661087362,0.03033733208399815,-1.3923490863968815,0.17838634229521844
coherence (raw) ~ date + size + family,familyLlama,-0.07660609673532959,0.037306757467679155,-2.0534107474147962,0.05269663810978085
coherence (raw) ~ date + size + family,familyMistral,-0.004072158517862527,0.047187096623796894,-0.08629813676243221,0.9320469612356046
coherence (raw) ~ date + size + family,familyQwen,-0.023327817498036082,0.03628849929062218,-0.6428432686403361,0.5272830861202928
coherence (resid on mean_acc) ~ date + size + family,(Intercept),0.029262454761209415,0.029483794651664928,0.9924928289227855,0.33225622767570595
coherence (resid on mean_acc) ~ date + size + family,date_c,-0.0260155041369741,0.022163367894938432,-1.1738064476615668,0.2536136076616153
coherence (resid on mean_acc) ~ date + size + family,log_params_c,-0.013681867961474884,0.017698236015658193,-0.7730639341327633,0.4480992901779337
coherence (resid on mean_acc) ~ date + size + family,familyGPT,-0.04201978841596955,0.035528423031645655,-1.1827090771392232,0.2501424637791769
coherence (resid on mean_acc) ~ date + size + family,familyLlama,-0.06690939421792116,0.04369040288647655,-1.5314437450205243,0.1405862954154161
coherence (resid on mean_acc) ~ date + size + family,familyMistral,-0.041918513339742024,0.05526138969120751,-0.7585497500872941,0.45655168207356867
coherence (resid on mean_acc) ~ date + size + family,familyQwen,-0.026982084292888155,0.04249790820138871,-0.6349038207957364,0.532348338805797
spearman (residualized),date_years,-0.1938271677882275,NA,NA,NA
spearman (residualized),log_params,-0.3631696044072132,NA,NA,NA
