item_id,task,tom_dimension,tom_construct,dim_rank,age_mid,n,pass,passrate,passrate_adj,difficulty_logit,fitted_pooled
DBEL_01,tom_12dim_mcq,Diverse Beliefs,Belief reasoning,1,3.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.3486363631409364
DBEL_02,tom_12dim_mcq,Diverse Beliefs,Belief reasoning,1,3.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.3486363631409364
DBEL_03,tom_12dim_mcq,Diverse Beliefs,Belief reasoning,1,3.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.3486363631409364
DBEL_04,tom_12dim_mcq,Diverse Beliefs,Belief reasoning,1,4.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.2680697113011457
DBEL_05,tom_12dim_mcq,Diverse Beliefs,Belief reasoning,1,4.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.2680697113011457
DBEL_06,tom_12dim_mcq,Diverse Beliefs,Belief reasoning,1,4.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.2680697113011457
DBEL_07,tom_12dim_mcq,Diverse Beliefs,Belief reasoning,1,3.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.3486363631409364
DBEL_08,tom_12dim_mcq,Diverse Beliefs,Belief reasoning,1,3.5,28,28,1,0.9827586206896551,-4.043051267834548,-2.3486363631409364
DBEL_09,tom_12dim_mcq,Diverse Beliefs,Belief reasoning,1,4.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.2680697113011457
DBEL_10,tom_12dim_mcq,Diverse Beliefs,Belief reasoning,1,3.5,28,28,1,0.9827586206896551,-4.043051267834548,-2.3486363631409364
DBEL_FR_01,tom_12dim_freeresponse,Diverse Beliefs,Belief reasoning,1,3.5,28,22,0.7857142857142857,0.7758620689655172,-1.2417131323087829,-2.3486363631409364
DBEL_FR_02,tom_12dim_freeresponse,Diverse Beliefs,Belief reasoning,1,4.5,28,28,1,0.9827586206896551,-4.043051267834548,-2.2680697113011457
DBEL_FR_03,tom_12dim_freeresponse,Diverse Beliefs,Belief reasoning,1,3.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.3486363631409364
DBEL_FR_04,tom_12dim_freeresponse,Diverse Beliefs,Belief reasoning,1,4.5,28,28,1,0.9827586206896551,-4.043051267834548,-2.2680697113011457
DBEL_FR_05,tom_12dim_freeresponse,Diverse Beliefs,Belief reasoning,1,4.5,28,17,0.6071428571428571,0.603448275862069,-0.419853845560264,-2.2680697113011457
DD_01,tom_12dim_mcq,Diverse Desires,Desire / intention inference,0,2.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.429203014980727
DD_02,tom_12dim_mcq,Diverse Desires,Desire / intention inference,0,2.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.429203014980727
DD_03,tom_12dim_mcq,Diverse Desires,Desire / intention inference,0,2.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.429203014980727
DD_04,tom_12dim_mcq,Diverse Desires,Desire / intention inference,0,3.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.3486363631409364
DD_05,tom_12dim_mcq,Diverse Desires,Desire / intention inference,0,2.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.429203014980727
DD_06,tom_12dim_mcq,Diverse Desires,Desire / intention inference,0,3.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.3486363631409364
DD_07,tom_12dim_mcq,Diverse Desires,Desire / intention inference,0,2.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.429203014980727
DD_08,tom_12dim_mcq,Diverse Desires,Desire / intention inference,0,3.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.3486363631409364
DD_09,tom_12dim_mcq,Diverse Desires,Desire / intention inference,0,3.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.3486363631409364
DD_10,tom_12dim_mcq,Diverse Desires,Desire / intention inference,0,3.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.3486363631409364
DD_FR_01,tom_12dim_freeresponse,Diverse Desires,Desire / intention inference,0,2.5,28,28,1,0.9827586206896551,-4.043051267834548,-2.429203014980727
DD_FR_02,tom_12dim_freeresponse,Diverse Desires,Desire / intention inference,0,2.5,28,16,0.5714285714285714,0.5689655172413793,-0.27763173659827967,-2.429203014980727
DD_FR_03,tom_12dim_freeresponse,Diverse Desires,Desire / intention inference,0,3.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.3486363631409364
DD_FR_04,tom_12dim_freeresponse,Diverse Desires,Desire / intention inference,0,3.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.3486363631409364
DD_FR_05,tom_12dim_freeresponse,Diverse Desires,Desire / intention inference,0,3.5,28,28,1,0.9827586206896551,-4.043051267834548,-2.3486363631409364
ER_01,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,3.5,28,28,1,0.9827586206896551,-4.043051267834548,-2.3486363631409364
ER_02,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,3.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.3486363631409364
ER_03,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,3.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.3486363631409364
