model,tom_dimension,accuracy,dim_rank,age_mid,family,tier,date_years,params_b,log_params,mean_acc,coherence,coherence_resid
anthropic/claude-fable-5,Diverse Beliefs,1,1,4,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-fable-5,Diverse Desires,1,0,3,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-fable-5,Emotion Recognition,1,3,5.4,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-fable-5,Faux Pas Detection,1,10,10.5,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-fable-5,First-Order False Belief,1,4,5,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-fable-5,Hidden Emotion (Appearance vs. Reality),1,6,7.25,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-fable-5,Intention vs. Accident,1,5,6,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-fable-5,Irony,1,11,8,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-fable-5,Knowledge Access / Ignorance,1,2,4,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-fable-5,Sarcasm,1,9,8.5,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-fable-5,Second-Order False Belief,1,7,7.25,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-fable-5,White Lies / Prosocial Deception,1,8,7.5,Claude,Claude Fable,2.477754962354552,70,1.845098040014257,1,0,-0.012355544109575515
anthropic/claude-haiku-4-5-20251001,Diverse Beliefs,0.9333333333333333,1,4,Claude,Claude Haiku,1.749486652977413,20,1.3010299956639813,0.9619565217391305,0.020139490139490124,0.0015292067593414011
anthropic/claude-haiku-4-5-20251001,Diverse Desires,1,0,3,Claude,Claude Haiku,1.749486652977413,20,1.3010299956639813,0.9619565217391305,0.020139490139490124,0.0015292067593414011
anthropic/claude-haiku-4-5-20251001,Emotion Recognition,1,3,5.4,Claude,Claude Haiku,1.749486652977413,20,1.3010299956639813,0.9619565217391305,0.020139490139490124,0.0015292067593414011
anthropic/claude-haiku-4-5-20251001,Faux Pas Detection,0.8666666666666667,10,10.5,Claude,Claude Haiku,1.749486652977413,20,1.3010299956639813,0.9619565217391305,0.020139490139490124,0.0015292067593414011
anthropic/claude-haiku-4-5-20251001,First-Order False Belief,1,4,5,Claude,Claude Haiku,1.749486652977413,20,1.3010299956639813,0.9619565217391305,0.020139490139490124,0.0015292067593414011
anthropic/claude-haiku-4-5-20251001,Hidden Emotion (Appearance vs. Reality),1,6,7.25,Claude,Claude Haiku,1.749486652977413,20,1.3010299956639813,0.9619565217391305,0.020139490139490124,0.0015292067593414011
anthropic/claude-haiku-4-5-20251001,Intention vs. Accident,1,5,6,Claude,Claude Haiku,1.749486652977413,20,1.3010299956639813,0.9619565217391305,0.020139490139490124,0.0015292067593414011
anthropic/claude-haiku-4-5-20251001,Irony,1,11,8,Claude,Claude Haiku,1.749486652977413,20,1.3010299956639813,0.9619565217391305,0.020139490139490124,0.0015292067593414011
anthropic/claude-haiku-4-5-20251001,Knowledge Access / Ignorance,0.9333333333333333,2,4,Claude,Claude Haiku,1.749486652977413,20,1.3010299956639813,0.9619565217391305,0.020139490139490124,0.0015292067593414011
anthropic/claude-haiku-4-5-20251001,Sarcasm,0.9333333333333333,9,8.5,Claude,Claude Haiku,1.749486652977413,20,1.3010299956639813,0.9619565217391305,0.020139490139490124,0.0015292067593414011
