dataset,model,family,tier,date_years,guttman_errors,coherence,mean_acc,params_b,log_params,coherence_resid
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,0.13491816561335274,0.6358695652173914,7,0.8450980400142568,0.06269583134257646
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,0.13310039534638465,0.782608695652174,7,0.8450980400142568,0.08500348397639075
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,0.05438453802090166,0.9510869565217391,72,1.8573324964312685,0.03398718627773201
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,0.06600224295411461,0.483695652173913,14,1.146128035678238,-0.031239048398954562
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,0.18113546979857142,0.6793478260869565,7,0.8450980400142568,0.11606140897987882
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,0.009429795793432165,0.9728260869565217,70,1.845098040014257,-0.00739341922369565
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,-0.019695773626254902,0.8913043478260869,8,0.9030899869919435,-0.04992200136603961
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,0.046989914423069504,0.2826086956521739,7,0.8450980400142568,-0.08331214164588668
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,-0.006680955210366974,0.967391304347826,72,1.8573324964312685,-0.024397704409005253
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,0.04675459715566667,0.8967391304347826,7,0.8450980400142568,0.01742190359739242
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,0.03053213571930151,0.8967391304347826,8,0.9030899869919435,0.0011994421610272618
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,0.026348216054098435,0.8586956521739131,8,0.9030899869919435,-0.00923921677474902
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,0.01058179194542829,0.9402173913043478,200,2.3010299956639813,-0.011602628160762286
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,0.027296558660195022,0.9456521739130435,72,1.8573324964312685,0.006005672735514912
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,0.0844120605083172,0.7663043478260869,7,0.8450980400142568,0.03363454659379193
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,-0.00722725086361448,0.967391304347826,70,1.845098040014257,-0.02494400006225276
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,-0.004364732118742827,0.9456521739130435,200,2.3010299956639813,-0.025655618043422937
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,0.003764176010165321,0.907608695652174,70,1.845098040014257,-0.023781449185087997
pooled,openai/o4-mini,GPT,GPT reasoning mini,1.2895277207392195,2,0.015074696545284823,0.9184782608695652,70,1.845098040014257,-0.01068386028694759
pooled,openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,1.325119780971937,0,0.022730166446743978,0.9565217391304348,8,0.9030899869919435,0.003226348885084796
pooled,anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,1.7440109514031483,0,0.01169071669071668,0.9945652173913043,70,1.845098040014257,-0.001558361600369293
pooled,anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,1.749486652977413,0,0.020139490139490124,0.9619565217391305,20,1.3010299956639813,0.0015292067593414011
pooled,anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,1.834360027378508,0,-0.013020683020683035,0.9728260869565217,175,2.2430380486862944,-0.029843898037810852
pooled,anthropic/claude-opus-4-6,Claude,Claude Opus,2.1711156741957565,0,0.0030880230880230798,0.9945652173913043,175,2.2430380486862944,-0.010161055203062899
pooled,anthropic/claude-opus-4-7,Claude,Claude Opus,2.3874058863791925,0,0.01169071669071668,0.9945652173913043,175,2.2430380486862944,-0.001558361600369293
pooled,anthropic/claude-fable-5,Claude,Claude Fable,2.477754962354552,0,0,1,70,1.845098040014257,-0.012355544109575515
pooled,anthropic/claude-sonnet-5,Claude,Claude Sonnet,2.477754962354552,0,0.01169071669071668,0.9945652173913043,70,1.845098040014257,-0.001558361600369293
pooled,anthropic/claude-opus-4-8,Claude,Claude Opus,2.521560574948665,0,0.01169071669071668,0.9945652173913043,175,2.2430380486862944,-0.001558361600369293
