dataset,item_id,rasch_b,tom_dimension,dim_rank,age_mid
mcq,DBEL_01,-5.509091952592058,Diverse Beliefs,1,3.5
mcq,DBEL_02,-5.509091952592058,Diverse Beliefs,1,3.5
mcq,DBEL_03,-4.075407014346726,Diverse Beliefs,1,3.5
mcq,DBEL_04,-5.509091952592058,Diverse Beliefs,1,4.5
mcq,DBEL_05,-3.075413795535234,Diverse Beliefs,1,4.5
mcq,DBEL_06,-5.509091952592058,Diverse Beliefs,1,4.5
mcq,DBEL_07,-5.509091952592058,Diverse Beliefs,1,3.5
mcq,DBEL_09,-4.075407014346726,Diverse Beliefs,1,4.5
mcq,DD_01,-3.075413795535234,Diverse Desires,0,2.5
mcq,DD_02,-4.075407014346726,Diverse Desires,0,2.5
mcq,DD_03,-5.509091952592058,Diverse Desires,0,2.5
mcq,DD_04,-5.509091952592058,Diverse Desires,0,3.5
mcq,DD_05,-3.0754137955352334,Diverse Desires,0,2.5
mcq,DD_06,-3.0754137955352334,Diverse Desires,0,3.5
mcq,DD_07,-5.509091952592058,Diverse Desires,0,2.5
mcq,DD_08,-4.075407014346726,Diverse Desires,0,3.5
mcq,DD_09,-3.075413795535234,Diverse Desires,0,3.5
mcq,DD_10,-4.075407014346726,Diverse Desires,0,3.5
mcq,ER_02,-4.075407014346726,Emotion Recognition,3,3.5
mcq,ER_03,-5.509091952592058,Emotion Recognition,3,3.5
mcq,ER_04,-4.075407014346726,Emotion Recognition,3,3.5
mcq,ER_05,-4.075407014346726,Emotion Recognition,3,4
mcq,ER_06,-4.075407014346726,Emotion Recognition,3,7
mcq,ER_07,-5.509091952592058,Emotion Recognition,3,7
mcq,ER_08,-5.509091952592058,Emotion Recognition,3,7
mcq,ER_09,-4.075407014346726,Emotion Recognition,3,7.5
mcq,ER_10,-5.509091952592058,Emotion Recognition,3,7
mcq,ER_11,-4.075407014346726,Emotion Recognition,3,5
mcq,ER_12,-5.509091952592058,Emotion Recognition,3,7
mcq,FOFB_01,-1.6775202085946521,First-Order False Belief,4,4.5
mcq,FOFB_02,-3.075413795535234,First-Order False Belief,4,4.5
mcq,FOFB_03,-2.3150532781896653,First-Order False Belief,4,4.5
mcq,FOFB_04,-3.0754137955352343,First-Order False Belief,4,4.5
mcq,FOFB_05,-1.6775202085946508,First-Order False Belief,4,4.5
mcq,FOFB_06,-2.315053278189667,First-Order False Belief,4,4.5
mcq,FOFB_07,-1.109304497078275,First-Order False Belief,4,5.5
mcq,FOFB_08,0.31965573014734233,First-Order False Belief,4,4.5
mcq,FOFB_09,-0.5908401202364174,First-Order False Belief,4,4.5
mcq,FOFB_10,-5.509091952592058,First-Order False Belief,4,5.5
mcq,FOFB_11,-3.075413795535234,First-Order False Belief,4,4.5
mcq,FOFB_12,-4.075407014346726,First-Order False Belief,4,5.5
mcq,FP_01,-2.3150532781896667,Faux Pas Detection,10,10
mcq,FP_02,-2.315053278189667,Faux Pas Detection,10,10
