tom_dimension,dim_rank,PC1_loading,PC2_loading
Diverse Desires,0,0.2868467848116639,0.3142311207058753
Diverse Beliefs,1,0.27994488045447136,-0.07195177642419062
Knowledge Access / Ignorance,2,0.3032445148128821,0.08709908194767897
Emotion Recognition,3,0.2683383070441554,0.4740341738179771
First-Order False Belief,4,0.24096867551857973,-0.5546764995604695
Intention vs. Accident,5,0.3098584651616211,0.07200959179358923
Hidden Emotion (Appearance vs. Reality),6,0.3076804924699262,0.05366900087039262
Second-Order False Belief,7,0.24410652044193817,-0.5699553847547225
White Lies / Prosocial Deception,8,0.31493937632875924,-0.054542460091438566
Sarcasm,9,0.30006310063948805,0.019183940205581496
Faux Pas Detection,10,0.2882993160072438,-0.06039588913744672
Irony,11,0.3077539319632533,0.1273405942592788
