model,ability_mcq,ability_frq,acc_frq,acc_mcq,headroom,params_b,family,tier,date_years
anthropic/claude-fable-5,20.569487145406168,17.641369020679186,1,1,FALSE,70,Claude,Claude Fable,2.477754962354552
anthropic/claude-haiku-4-5-20251001,20.569487128200855,2.1073924842693277,0.8833333333333333,1,FALSE,20,Claude,Claude Haiku,1.749486652977413
anthropic/claude-opus-4-5-20251101,4.117352974620392,3.0367674113494765,0.95,0.9838709677419355,FALSE,175,Claude,Claude Opus,1.834360027378508
anthropic/claude-opus-4-6,20.569487128088703,4.174561649275159,0.9833333333333333,1,FALSE,175,Claude,Claude Opus,2.1711156741957565
anthropic/claude-opus-4-7,20.569487128133712,4.174561649275137,0.9833333333333333,1,FALSE,175,Claude,Claude Opus,2.3874058863791925
anthropic/claude-opus-4-8,20.569487128235103,4.174561649275148,0.9833333333333333,1,FALSE,175,Claude,Claude Opus,2.521560574948665
anthropic/claude-sonnet-4-5-20250929,20.569487128226626,4.174561649275164,0.9833333333333333,1,FALSE,70,Claude,Claude Sonnet,1.7440109514031483
anthropic/claude-sonnet-5,20.569487128841867,4.174561649275141,0.9833333333333333,1,FALSE,70,Claude,Claude Sonnet,2.477754962354552
openai-api/local/meta-llama/llama-3-70b-instruct,20.56948712872309,2.4855528323543474,0.9166666666666666,1,FALSE,70,Llama,Llama large,0.2956878850102669
openai-api/local/meta-llama/llama-3-8b-instruct,2.552610060852661,1.5677108282050263,0.8166666666666667,0.9274193548387096,TRUE,8,Llama,Llama small,0.2956878850102669
openai-api/local/meta-llama/llama-3.1-8b-instruct,2.3339460755001333,1.1632595708318867,0.75,0.9112903225806451,TRUE,8,Llama,Llama small,0.5585215605749486
openai-api/local/meta-llama/llama-3.3-70b-instruct,20.569487128157775,2.2825557660744646,0.9,1,FALSE,70,Llama,Llama large,0.9308692676249144
openai-api/local/mistralai/mistral-7b-instruct,0.7399525082974563,0.2383634043422127,0.55,0.6774193548387096,TRUE,7,Mistral,Mistral small,-0.2628336755646817
openai-api/local/mistralai/mistral-7b-instruct-v0.2,1.4286672644909366,1.0739763549401005,0.7333333333333333,0.8064516129032258,TRUE,7,Mistral,Mistral small,0.0383299110198494
openai-api/local/mistralai/mistral-7b-instruct-v0.3,-2.2510131819845363,0.7464837695101991,0.6666666666666666,0.0967741935483871,TRUE,7,Mistral,Mistral small,0.3887748117727584
openai-api/local/qwen/qwen-1.5-72b-chat,4.117352974620388,2.107392484269303,0.8833333333333333,0.9838709677419355,FALSE,72,Qwen,Qwen large,0.0930869267624914
openai-api/local/qwen/qwen1.5-14b-chat,-0.7534451546231757,1.5677108282050014,0.8166666666666667,0.3225806451612903,TRUE,14,Qwen,Qwen mid,0.0930869267624914
openai-api/local/qwen/qwen1.5-7b-chat,0.5949744283352452,1.163259570831844,0.75,0.6451612903225806,TRUE,7,Qwen,Qwen small,0.0930869267624914
openai-api/local/qwen/qwen2-72b-instruct,4.818889355896811,2.4855528323543403,0.9166666666666666,0.9919354838709677,FALSE,72,Qwen,Qwen large,0.4298425735797399
openai-api/local/qwen/qwen2-7b-instruct,2.821615929853337,1.457787674544715,0.8,0.9435483870967742,TRUE,7,Qwen,Qwen small,0.4298425735797399
openai-api/local/qwen/qwen2.5-72b-instruct,20.56948712880687,1.6855216024050428,0.8333333333333334,1,FALSE,72,Qwen,Qwen large,0.7173169062286106
openai-api/local/qwen/qwen2.5-7b-instruct,1.09861138815781,1.4577876745445089,0.8,0.75,TRUE,7,Qwen,Qwen small,0.7173169062286106
openai-api/local/qwen/qwen3-8b,4.818889355897181,2.107392484269262,0.8833333333333333,0.9919354838709677,FALSE,8,Qwen,Qwen small,1.325119780971937
openai/gpt-4o-2024-08-06,20.56948712876337,1.5677108282049943,0.8166666666666667,1,FALSE,200,GPT,GPT standard,0.5968514715947981
openai/gpt-4o-mini,20.569487128839146,0.8247222855357137,0.6833333333333333,1,FALSE,8,GPT,GPT mini,0.5448323066392882
openai/o1,20.56948712877764,1.6855216024051014,0.8333333333333334,1,FALSE,200,GPT,GPT reasoning,0.9609856262833676
openai/o3-mini,4.117352974620932,1.16325957083194,0.75,0.9838709677419355,FALSE,70,GPT,GPT reasoning mini,1.0841889117043122
openai/o4-mini,20.569487129026797,1.1632595708319116,0.75,1,FALSE,70,GPT,GPT reasoning mini,1.2895277207392195
