model,task,created,log_file,dimension,accuracy,stderr
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,ALL (overall),0.8833333333333333,0.041793591990281174
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,Diverse Beliefs,0.8,0.19999999999999998
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,Diverse Desires,0.8,0.20000000000000004
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,Emotion Recognition,1.0,0.0
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,Faux Pas Detection,0.8,0.20000000000000004
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,First-Order False Belief,1.0,0.0
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,Hidden Emotion (Appearance vs. Reality),1.0,0.0
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,Intention vs. Accident,0.8,0.20000000000000004
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,Irony,1.0,0.0
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,Knowledge Access / Ignorance,0.8,0.19999999999999998
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,Sarcasm,1.0,0.0
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,Second-Order False Belief,0.6,0.24494897427831783
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T18:38:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-40-00-00_tom-12dim-freeresponse_bt4J7spmDxrUvFVYbU3e4N.eval,White Lies / Prosocial Deception,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,ALL (overall),0.9333333333333333,0.03247482002983031
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,Diverse Beliefs,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,Diverse Desires,0.8,0.20000000000000004
