term,beta,se,t,p,sig,model
intercept,0.38634365283295574,0.07055114087001162,5.476079451993306,0.0001415932298379638,***,A_common_slope
years,0.0723965980060175,0.061350165289221055,1.1800554678984256,0.26084259160553064,ns,A_common_slope
log10(params),0.14056467762294872,0.03500868825996488,4.0151369448393535,0.001714380809038607,**,A_common_slope
Qwen,0.1721339126793409,0.04809721964524264,3.5788744952197438,0.0037900966097841678,**,A_common_slope
DeepSeek,0.06928198056020929,0.059165653271079977,1.1709831081012358,0.2643335744180511,ns,A_common_slope
Mistral,0.19404680653057466,0.061298397331266005,3.1656097871844144,0.008135667000790098,**,A_common_slope
Gemma,0.18450722039034329,0.04802185120841628,3.842151348759472,0.002343297604943545,**,A_common_slope
Llama:intercept,0.5120327651632628,0.0684406060570837,7.48141775273287,7.050835872594651e-05,***,B_family_slopes
Qwen:intercept,0.3473422357583854,0.10980808945454304,3.1631752950421177,0.013331017744044204,*,B_family_slopes
DeepSeek:intercept,0.1887798899064222,0.2138548322137229,0.8827478339033217,0.4031176680425891,ns,B_family_slopes
Mistral:intercept,0.16374851998852202,0.2536463507134247,0.645578063819766,0.5366253123200815,ns,B_family_slopes
Gemma:intercept,0.4719795845510085,0.10809823303358757,4.366209986099941,0.0023926193344515454,**,B_family_slopes
Llama:slope/yr,-0.16108904040524186,0.09243445813302081,-1.7427379751977496,0.1195458057227352,ns,B_family_slopes
Qwen:slope/yr,0.22600180444950024,0.10674920553558585,2.117128678528295,0.06712450599491154,ns,B_family_slopes
DeepSeek:slope/yr,0.18039117396550752,0.16249714650704553,1.1101190257373914,0.2991981032127379,ns,B_family_slopes
Mistral:slope/yr,0.34539007092198215,0.19345577949037296,1.7853696169318631,0.1120287023834502,ns,B_family_slopes
Gemma:slope/yr,0.11399554284808955,0.0883367349117402,1.2904658855909246,0.23293423890578271,ns,B_family_slopes
log10(params),0.19035421060390112,0.03362247356187453,5.66151714726156,0.0004750412574878057,***,B_family_slopes
