model,task,created,log_file,dimension,construct,accuracy,stderr
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,ALL (overall),ALL (overall),1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,Diverse Beliefs,Belief reasoning,1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,Diverse Desires,Desire / intention inference,1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,Emotion Recognition,Emotion recognition,1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,Faux Pas Detection,Pragmatic understanding,1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,First-Order False Belief,Belief reasoning,1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,Irony,Pragmatic understanding,1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,Knowledge Access / Ignorance,Knowledge access,1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,Sarcasm,Pragmatic understanding,1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,Second-Order False Belief,Belief reasoning,1.0,0.0
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,2026-07-16T15:21:55+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-21-55-00-00_tom-12dim-mcq_XZqK9GB4bHcEpAFd4x6jvi.eval,White Lies / Prosocial Deception,Deception,1.0,0.0
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,ALL (overall),ALL (overall),0.9838709677419355,0.011358491890219655
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,Diverse Beliefs,Belief reasoning,1.0,0.0
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,Diverse Desires,Desire / intention inference,1.0,0.0
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,Emotion Recognition,Emotion recognition,1.0,0.0
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,Faux Pas Detection,Pragmatic understanding,1.0,0.0
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,First-Order False Belief,Belief reasoning,1.0,0.0
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,Irony,Pragmatic understanding,1.0,0.0
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,Knowledge Access / Ignorance,Knowledge access,0.8,0.13333333333333333
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,Sarcasm,Pragmatic understanding,1.0,0.0
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,Second-Order False Belief,Belief reasoning,1.0,0.0
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2026-07-16T15:22:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-19-00-00_tom-12dim-mcq_ibku3uLvrPZ84h2i5iibWB.eval,White Lies / Prosocial Deception,Deception,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,ALL (overall),ALL (overall),1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,Diverse Beliefs,Belief reasoning,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,Diverse Desires,Desire / intention inference,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,Emotion Recognition,Emotion recognition,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,Faux Pas Detection,Pragmatic understanding,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,First-Order False Belief,Belief reasoning,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,Irony,Pragmatic understanding,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,Knowledge Access / Ignorance,Knowledge access,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,Sarcasm,Pragmatic understanding,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,Second-Order False Belief,Belief reasoning,1.0,0.0
anthropic/claude-opus-4-6,tom_12dim_mcq,2026-07-16T15:22:48+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-22-48-00-00_tom-12dim-mcq_mavL6Qia7RbEvd2SKtB3iT.eval,White Lies / Prosocial Deception,Deception,1.0,0.0
anthropic/claude-opus-4-7,tom_12dim_mcq,2026-07-16T15:23:47+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-23-47-00-00_tom-12dim-mcq_PNgovQ7baTiqZdCWcv9GCm.eval,ALL (overall),ALL (overall),1.0,0.0
anthropic/claude-opus-4-7,tom_12dim_mcq,2026-07-16T15:23:47+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-23-47-00-00_tom-12dim-mcq_PNgovQ7baTiqZdCWcv9GCm.eval,Diverse Beliefs,Belief reasoning,1.0,0.0
anthropic/claude-opus-4-7,tom_12dim_mcq,2026-07-16T15:23:47+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-23-47-00-00_tom-12dim-mcq_PNgovQ7baTiqZdCWcv9GCm.eval,Diverse Desires,Desire / intention inference,1.0,0.0
anthropic/claude-opus-4-7,tom_12dim_mcq,2026-07-16T15:23:47+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-23-47-00-00_tom-12dim-mcq_PNgovQ7baTiqZdCWcv9GCm.eval,Emotion Recognition,Emotion recognition,1.0,0.0
anthropic/claude-opus-4-7,tom_12dim_mcq,2026-07-16T15:23:47+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T15-23-47-00-00_tom-12dim-mcq_PNgovQ7baTiqZdCWcv9GCm.eval,Faux Pas Detection,Pragmatic understanding,1.0,0.0
