model,tom_dimension,n,n_correct,accuracy
anthropic/claude-fable-5,Diverse Beliefs,15,15,1.0
anthropic/claude-fable-5,Diverse Desires,15,15,1.0
anthropic/claude-fable-5,Emotion Recognition,17,17,1.0
anthropic/claude-fable-5,Faux Pas Detection,15,15,1.0
anthropic/claude-fable-5,First-Order False Belief,17,17,1.0
anthropic/claude-fable-5,Hidden Emotion (Appearance vs. Reality),15,15,1.0
anthropic/claude-fable-5,Intention vs. Accident,15,15,1.0
anthropic/claude-fable-5,Irony,15,15,1.0
anthropic/claude-fable-5,Knowledge Access / Ignorance,15,15,1.0
anthropic/claude-fable-5,Sarcasm,15,15,1.0
anthropic/claude-fable-5,Second-Order False Belief,15,15,1.0
anthropic/claude-fable-5,White Lies / Prosocial Deception,15,15,1.0
anthropic/claude-haiku-4-5-20251001,Diverse Beliefs,15,14,0.9333333333333333
anthropic/claude-haiku-4-5-20251001,Diverse Desires,15,15,1.0
anthropic/claude-haiku-4-5-20251001,Emotion Recognition,17,17,1.0
anthropic/claude-haiku-4-5-20251001,Faux Pas Detection,15,13,0.8666666666666667
anthropic/claude-haiku-4-5-20251001,First-Order False Belief,17,17,1.0
anthropic/claude-haiku-4-5-20251001,Hidden Emotion (Appearance vs. Reality),15,15,1.0
anthropic/claude-haiku-4-5-20251001,Intention vs. Accident,15,15,1.0
anthropic/claude-haiku-4-5-20251001,Irony,15,15,1.0
anthropic/claude-haiku-4-5-20251001,Knowledge Access / Ignorance,15,14,0.9333333333333333
anthropic/claude-haiku-4-5-20251001,Sarcasm,15,14,0.9333333333333333
anthropic/claude-haiku-4-5-20251001,Second-Order False Belief,15,14,0.9333333333333333
anthropic/claude-haiku-4-5-20251001,White Lies / Prosocial Deception,15,14,0.9333333333333333
anthropic/claude-opus-4-5-20251101,Diverse Beliefs,15,14,0.9333333333333333
anthropic/claude-opus-4-5-20251101,Diverse Desires,15,15,1.0
anthropic/claude-opus-4-5-20251101,Emotion Recognition,17,17,1.0
anthropic/claude-opus-4-5-20251101,Faux Pas Detection,15,14,0.9333333333333333
anthropic/claude-opus-4-5-20251101,First-Order False Belief,17,17,1.0
anthropic/claude-opus-4-5-20251101,Hidden Emotion (Appearance vs. Reality),15,15,1.0
anthropic/claude-opus-4-5-20251101,Intention vs. Accident,15,15,1.0
anthropic/claude-opus-4-5-20251101,Irony,15,15,1.0
anthropic/claude-opus-4-5-20251101,Knowledge Access / Ignorance,15,13,0.8666666666666667
anthropic/claude-opus-4-5-20251101,Sarcasm,15,15,1.0
anthropic/claude-opus-4-5-20251101,Second-Order False Belief,15,14,0.9333333333333333
anthropic/claude-opus-4-5-20251101,White Lies / Prosocial Deception,15,15,1.0
anthropic/claude-opus-4-6,Diverse Beliefs,15,15,1.0
anthropic/claude-opus-4-6,Diverse Desires,15,15,1.0
anthropic/claude-opus-4-6,Emotion Recognition,17,17,1.0
anthropic/claude-opus-4-6,Faux Pas Detection,15,15,1.0
anthropic/claude-opus-4-6,First-Order False Belief,17,17,1.0
anthropic/claude-opus-4-6,Hidden Emotion (Appearance vs. Reality),15,15,1.0
anthropic/claude-opus-4-6,Intention vs. Accident,15,15,1.0
anthropic/claude-opus-4-6,Irony,15,15,1.0
anthropic/claude-opus-4-6,Knowledge Access / Ignorance,15,15,1.0
anthropic/claude-opus-4-6,Sarcasm,15,15,1.0
anthropic/claude-opus-4-6,Second-Order False Belief,15,14,0.9333333333333333
anthropic/claude-opus-4-6,White Lies / Prosocial Deception,15,15,1.0
anthropic/claude-opus-4-7,Diverse Beliefs,15,15,1.0
anthropic/claude-opus-4-7,Diverse Desires,15,15,1.0
