family,dim_rank,tom_dimension,validated_age_band,slope_logodds,slope_or,se,lo,hi
Claude,0,Diverse Desires,2-3 yrs,3.562834886521552,35.26302224831336,2.9036785109202907,0.11903056205148009,10446.734995229583
Claude,1,Diverse Beliefs,3-4 yrs,3.575906632718137,35.726997401367036,2.797567281031847,0.14847699655317492,8596.741400679914
Claude,2,Knowledge Access / Ignorance,3-4 yrs,3.588978378914722,36.197077332994006,2.7128708071594367,0.17759521291091515,7377.611062680961
Claude,3,Emotion Recognition,6-8 yrs,3.602050125111307,36.67334236715383,2.6516419192821257,0.20287443529126942,6629.391418625714
Claude,4,First-Order False Belief,4-5 yrs,3.615121871307892,37.155873884672964,2.615529248004852,0.22061957192244636,6257.645013557663
Claude,5,Intention vs. Accident,7-8 yrs,3.6281936175044764,37.64475433715058,2.6055773167499345,0.22792516597180323,6217.512327180803
Claude,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,3.6412653637010615,38.1400672610473,2.6220840160591874,0.2235725502965444,6506.45496841074
Claude,7,Second-Order False Belief,6-7 yrs,3.6543371098976465,38.6418972919593,2.6645576646608147,0.20842085276891192,7164.332198457714
Claude,8,White Lies / Prosocial Deception,5-7 yrs,3.6674088560942315,39.15033017908028,2.731787333715903,0.18509347375073837,8280.942175168879
Claude,9,Sarcasm,6-8 yrs,3.6804806022908165,39.66545279985364,2.8220042615695893,0.1571353488582288,10012.693879827946
Claude,10,Faux Pas Detection,9-11 yrs,3.6935523484874015,40.187353174817545,2.9330880647027167,0.12805438041017744,12612.011787682342
Claude,11,Irony,7-9 yrs,3.7066240946839866,40.716120482645216,3.0627691172539375,0.10062008641100731,16475.86010198385
Llama,0,Diverse Desires,2-3 yrs,5.337488381149774,207.98966295814907,0.0021542098992599424,207.11332966364455,208.86970417451602
Llama,1,Diverse Beliefs,3-4 yrs,7.163363486647454,1291.2467282524638,0.003088652845247607,1283.4534441402836,1299.0873341257332
Llama,2,Knowledge Access / Ignorance,3-4 yrs,8.989238592145135,8016.350858543316,0.004916684037856306,7939.470714928669,8093.975454363208
Llama,3,Emotion Recognition,6-8 yrs,10.815113697642815,49767.31377607306,0.006967254615631188,49092.31963310158,50451.58874130861
Llama,4,First-Order False Belief,4-5 yrs,12.640988803140495,308966.7061973106,0.009091003313783657,303510.1817349931,314521.3283874791
Llama,5,Intention vs. Accident,7-8 yrs,14.466863908638175,1918134.9824894578,0.011246550361985894,1876315.6849076266,1960886.3479873142
Llama,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,16.292739014135854,11908214.500950841,0.013418580336958634,11599106.145386714,12225560.385707472
Llama,7,Second-Order False Belief,6-7 yrs,18.118614119633534,73928880.86354229,0.015600209963183476,71702610.10932718,76224274.36605789
Llama,8,White Lies / Prosocial Deception,5-7 yrs,19.944489225131214,458967162.98647666,0.017787907492245212,443241322.81364113,475250943.1265782
Llama,9,Sarcasm,6-8 yrs,21.770364330628897,2849371642.574632,0.01997967978800476,2739946298.986821,2963167110.4323015
Llama,10,Faux Pas Detection,9-11 yrs,23.596239436126577,17689541675.87726,0.022174318599023662,16937192351.503414,18475310323.485954
Llama,11,Irony,7-9 yrs,25.422114541624257,109820663625.27933,0.024371049539403833,104698149936.3674,115193803963.36357
