family,tier,model,date_years,release_date,accuracy,n
Claude,Claude Fable,anthropic/claude-fable-5,2.4777549623545516,2026-06-24,1,184
Claude,Claude Haiku,anthropic/claude-haiku-4-5-20251001,1.749486652977413,2025-10-01,0.9619565217391305,184
Claude,Claude Opus,anthropic/claude-opus-4-5-20251101,1.834360027378508,2025-11-01,0.9728260869565217,184
Claude,Claude Opus,anthropic/claude-opus-4-6,2.1711156741957565,2026-03-04,0.9945652173913043,184
Claude,Claude Opus,anthropic/claude-opus-4-7,2.3874058863791925,2026-05-22,0.9945652173913043,184
Claude,Claude Opus,anthropic/claude-opus-4-8,2.521560574948665,2026-07-10,0.9945652173913043,184
Claude,Claude Sonnet,anthropic/claude-sonnet-4-5-20250929,1.7440109514031483,2025-09-29,0.9945652173913043,184
Claude,Claude Sonnet,anthropic/claude-sonnet-4-6,2.0369609856262834,2026-01-14,0.5543478260869565,184
Llama,Llama large,openai-api/local/meta-llama/llama-3.3-70b-instruct,0.9308692676249144,2024-12-06,0.967391304347826,184
Llama,Llama small,openai-api/local/meta-llama/llama-3.1-8b-instruct,0.5585215605749486,2024-07-23,0.8586956521739131,184
