id,task_type,issues
DD_FR_01,freeresponse,missing rubric
DD_FR_02,freeresponse,missing rubric
DD_FR_03,freeresponse,missing rubric
DD_FR_04,freeresponse,missing rubric
DD_FR_05,freeresponse,missing rubric
DBEL_FR_01,freeresponse,missing rubric
DBEL_FR_02,freeresponse,missing rubric
DBEL_FR_03,freeresponse,missing rubric
DBEL_FR_04,freeresponse,missing rubric
DBEL_FR_05,freeresponse,missing rubric
KA_FR_01,freeresponse,missing rubric
KA_FR_02,freeresponse,missing rubric
KA_FR_03,freeresponse,missing rubric
KA_FR_04,freeresponse,missing rubric
KA_FR_05,freeresponse,missing rubric
FOFB_FR_01,freeresponse,missing rubric
FOFB_FR_02,freeresponse,missing rubric
FOFB_FR_03,freeresponse,missing rubric
FOFB_FR_04,freeresponse,missing rubric
FOFB_FR_05,freeresponse,missing rubric
SOFB_FR_01,freeresponse,missing rubric
SOFB_FR_02,freeresponse,missing rubric
SOFB_FR_03,freeresponse,missing rubric
SOFB_FR_04,freeresponse,missing rubric
SOFB_FR_05,freeresponse,missing rubric
HE_FR_01,freeresponse,missing rubric
HE_FR_02,freeresponse,missing rubric
HE_FR_03,freeresponse,missing rubric
HE_FR_04,freeresponse,missing rubric
HE_FR_05,freeresponse,missing rubric
ER_FR_01,freeresponse,missing rubric
ER_FR_02,freeresponse,missing rubric
ER_FR_03,freeresponse,missing rubric
ER_FR_04,freeresponse,missing rubric
ER_FR_05,freeresponse,missing rubric
SAR_FR_01,freeresponse,missing rubric
SAR_FR_02,freeresponse,missing rubric
SAR_FR_03,freeresponse,missing rubric
SAR_FR_04,freeresponse,missing rubric
SAR_FR_05,freeresponse,missing rubric
IRO_FR_01,freeresponse,missing rubric
IRO_FR_02,freeresponse,missing rubric
IRO_FR_03,freeresponse,missing rubric
IRO_FR_04,freeresponse,missing rubric
IRO_FR_05,freeresponse,missing rubric
FP_FR_01,freeresponse,missing rubric
FP_FR_02,freeresponse,missing rubric
FP_FR_03,freeresponse,missing rubric
FP_FR_04,freeresponse,missing rubric
FP_FR_05,freeresponse,missing rubric
WL_FR_01,freeresponse,missing rubric
WL_FR_02,freeresponse,missing rubric
WL_FR_03,freeresponse,missing rubric
WL_FR_04,freeresponse,missing rubric
WL_FR_05,freeresponse,missing rubric
IA_FR_01,freeresponse,missing rubric
IA_FR_02,freeresponse,missing rubric
IA_FR_03,freeresponse,missing rubric
IA_FR_04,freeresponse,missing rubric
IA_FR_05,freeresponse,missing rubric
