model,family,tier,n,n_correct,accuracy,wilson_lo,wilson_hi
anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,184,183,0.9945652173913043,0.9698614503605403,0.9990400070376078
anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,184,177,0.9619565217391305,0.9235659531688607,0.9814518916535855
anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,184,179,0.9728260869565217,0.937973928367375,0.9883384539803052
anthropic/claude-sonnet-4-6,Claude,Claude Sonnet,184,102,0.5543478260869565,0.48214733476573146,0.6243253528604387
anthropic/claude-opus-4-6,Claude,Claude Opus,184,183,0.9945652173913043,0.9698614503605403,0.9990400070376078
anthropic/claude-opus-4-7,Claude,Claude Opus,184,183,0.9945652173913043,0.9698614503605403,0.9990400070376078
anthropic/claude-sonnet-5,Claude,Claude Sonnet,184,183,0.9945652173913043,0.9698614503605403,0.9990400070376078
anthropic/claude-fable-5,Claude,Claude Fable,184,184,1.0,0.9795487261607652,1.0
anthropic/claude-opus-4-8,Claude,Claude Opus,184,183,0.9945652173913043,0.9698614503605403,0.9990400070376078
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,184,158,0.8586956521739131,0.801007920822305,0.9017118175104181
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,184,178,0.967391304347826,0.9306937906666767,0.9849713229183864
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama other,184,179,0.9728260869565217,0.937973928367375,0.9883384539803052
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama other,184,164,0.8913043478260869,0.8380757898182399,0.928527561090185
openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen other,184,175,0.9510869565217391,0.9096667646617362,0.9740565426354759
openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen other,184,89,0.483695652173913,0.41256237000304147,0.5554958237091076
openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen other,184,125,0.6793478260869565,0.608833517174563,0.7425263519917985
openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen other,184,178,0.967391304347826,0.9306937906666767,0.9849713229183864
openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen other,184,165,0.8967391304347826,0.8443581389809158,0.9328924806901262
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen other,184,174,0.9456521739130435,0.9028609730271813,0.9702150655074138
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen other,184,141,0.7663043478260869,0.700095294360526,0.8216208750077075
openai-api/local/qwen/qwen3-8b,Qwen,Qwen other,184,176,0.9565217391304348,0.9165634839477684,0.9778070921120608
openai-api/local/deepseek/deepseek-llm-67b-chat,DeepSeek,DeepSeek other,184,143,0.7771739130434783,0.7117243014071393,0.8312864054863285
openai-api/local/deepseek/deepseek-llm-7b-chat,DeepSeek,DeepSeek other,184,29,0.15760869565217392,0.11203431432792438,0.21718775362720377
openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral other,184,117,0.6358695652173914,0.5642214313962284,0.701960287669197
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral other,184,144,0.782608695652174,0.7175598745150145,0.8360981011410702
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral other,184,52,0.2826086956521739,0.2225094590090456,0.35159979048627377
openai-api/local/mistralai/mixtral-8x7b-instruct,Mistral,Mistral other,184,0,0.0,0.0,0.020451273839234757
openai-api/local/google/gemma-7b-it,Gemma,Gemma other,184,127,0.6902173913043478,0.6200854444847699,0.7525689622068255
