model,task,theta,theta_se,family,tier,date_years,release_date,age_anchored_theta
openai/o4-mini,tom_12dim_mcq,4.409199701394856,0.9574666036984146,GPT,GPT reasoning mini,1.2895277207392195,2025-04-16,7.628334632085363
openai/o3-mini,tom_12dim_mcq,2.7905225417540422,0.7414752814199076,GPT,GPT reasoning mini,1.0841889117043122,2025-01-31,7.252073062672335
openai/o1,tom_12dim_mcq,4.409199701394856,0.9574666036984146,GPT,GPT reasoning,0.9609856262833676,2024-12-17,7.628334632085363
openai/gpt-4o-2024-08-06,tom_12dim_mcq,4.409199701394856,0.9574666036984146,GPT,GPT standard,0.5968514715947981,2024-08-06,7.628334632085363
openai/gpt-4o-mini,tom_12dim_mcq,4.409199701394856,0.9574666036984146,GPT,GPT mini,0.5448323066392882,2024-07-18,7.628334632085363
openai-api/local/meta-llama/llama-3.3-70b-instruct,tom_12dim_mcq,4.409199701394856,0.9574666036984146,Llama,Llama large,0.9308692676249144,2024-12-06,7.628334632085363
openai-api/local/google/gemma-7b-it,tom_12dim_mcq,-0.4605269996599257,0.23456031625441923,Gemma,Gemma large,0.13963039014373715,2024-02-21,6.49636646892305
openai-api/local/deepseek/deepseek-llm-7b-chat,tom_12dim_mcq,-5.828841884936096,0.18742320630721285,DeepSeek,DeepSeek V,-0.09034907597535936,2023-11-29,5.248501462731481
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_mcq,-0.46052699965992644,0.23456031625441975,DeepSeek,DeepSeek V,-0.09034907597535936,2023-11-29,6.49636646892305
openai-api/local/mistralai/mixtral-8x7b-instruct,tom_12dim_mcq,-5.828841884936096,0.18742320630721285,Mistral,Mistral MoE,-0.05749486652977412,2023-12-11,5.248501462731481
openai-api/local/mistralai/mistral-7b-instruct-v0.3,tom_12dim_mcq,-4.62051667175072,0.32139091897382494,Mistral,Mistral small,0.3887748117727584,2024-05-22,5.529376706053842
openai-api/local/mistralai/mistral-7b-instruct-v0.2,tom_12dim_mcq,-0.2291287045250746,0.2470127795243549,Mistral,Mistral small,0.03832991101984941,2024-01-15,6.55015501172689
openai-api/local/mistralai/mistral-7b-instruct,tom_12dim_mcq,-1.0518416765075902,0.2120662797573004,Mistral,Mistral small,-0.26283367556468173,2023-09-27,6.358915349036345
openai-api/local/qwen/qwen3-8b,tom_12dim_mcq,3.4813514576493576,0.9191668987143924,Qwen,Qwen small,1.325119780971937,2025-04-29,7.412656271339066
openai-api/local/qwen/qwen2.5-72b-instruct,tom_12dim_mcq,4.409199701394856,0.9574666036984146,Qwen,Qwen large,0.7173169062286106,2024-09-19,7.628334632085363
openai-api/local/qwen/qwen2.5-7b-instruct,tom_12dim_mcq,-0.6203056059062645,0.22722343083463603,Qwen,Qwen small,0.7173169062286106,2024-09-19,6.45922592561779
openai-api/local/qwen/qwen2-72b-instruct,tom_12dim_mcq,3.4813514576493585,0.9191668987143923,Qwen,Qwen large,0.42984257357973993,2024-06-06,7.412656271339066
openai-api/local/qwen/qwen2-7b-instruct,tom_12dim_mcq,1.359841869391554,0.41098120906175584,Qwen,Qwen small,0.42984257357973993,2024-06-06,6.919511284120119
openai-api/local/qwen/qwen-1.5-72b-chat,tom_12dim_mcq,2.790522541754044,0.741475281419909,Qwen,Qwen large,0.09308692676249145,2024-02-04,7.252073062672335
openai-api/local/qwen/qwen1.5-14b-chat,tom_12dim_mcq,-2.874750319671234,0.2117397681704689,Qwen,Qwen mid,0.09308692676249145,2024-02-04,5.935180163247026
openai-api/local/qwen/qwen1.5-7b-chat,tom_12dim_mcq,-1.2278722462607063,0.20768189947672638,Qwen,Qwen small,0.09308692676249145,2024-02-04,6.317997036174827
openai-api/local/meta-llama/llama-3.1-8b-instruct,tom_12dim_mcq,0.8131704406328651,0.3360440413736993,Llama,Llama small,0.5585215605749486,2024-07-23,6.792437489007294
openai-api/local/meta-llama/llama-3-70b-instruct,tom_12dim_mcq,4.409199701394856,0.9574666036984146,Llama,Llama large,0.29568788501026694,2024-04-18,7.628334632085363
openai-api/local/meta-llama/llama-3-8b-instruct,tom_12dim_mcq,1.0592351464543375,0.3668905953035125,Llama,Llama small,0.29568788501026694,2024-04-18,6.849635239551996
anthropic/claude-sonnet-5,tom_12dim_mcq,4.409199701394856,0.9574666036984146,Claude,Claude Sonnet,2.4777549623545516,2026-06-24,7.628334632085363
anthropic/claude-fable-5,tom_12dim_mcq,4.409199701394856,0.9574666036984146,Claude,Claude Fable,2.4777549623545516,2026-06-24,7.628334632085363
anthropic/claude-opus-4-8,tom_12dim_mcq,4.409199701394856,0.9574666036984146,Claude,Claude Opus,2.521560574948665,2026-07-10,7.628334632085363
anthropic/claude-opus-4-7,tom_12dim_mcq,4.409199701394856,0.9574666036984146,Claude,Claude Opus,2.3874058863791925,2026-05-22,7.628334632085363
anthropic/claude-sonnet-4-6,tom_12dim_mcq,-2.7424461781540366,0.20837565692381096,Claude,Claude Sonnet,2.0369609856262834,2026-01-14,5.965934266145562
anthropic/claude-opus-4-6,tom_12dim_mcq,4.409199701394856,0.9574666036984146,Claude,Claude Opus,2.1711156741957565,2026-03-04,7.628334632085363
anthropic/claude-opus-4-5-20251101,tom_12dim_mcq,2.7905225417540422,0.7414752814199073,Claude,Claude Opus,1.834360027378508,2025-11-01,7.252073062672335
anthropic/claude-haiku-4-5-20251001,tom_12dim_mcq,4.409199701394856,0.9574666036984146,Claude,Claude Haiku,1.749486652977413,2025-10-01,7.628334632085363
anthropic/claude-sonnet-4-5-20250929,tom_12dim_mcq,4.409199701394856,0.9574666036984146,Claude,Claude Sonnet,1.7440109514031483,2025-09-29,7.628334632085363
openai/o4-mini,tom_12dim_freeresponse,-0.5096443527651182,0.35776057607374556,GPT,GPT reasoning mini,1.2895277207392195,2025-04-16,6.858782410962743
openai/o3-mini,tom_12dim_freeresponse,-0.5096443527651179,0.35776057607374556,GPT,GPT reasoning mini,1.0841889117043122,2025-01-31,6.858782410962743
openai/o1,tom_12dim_freeresponse,0.21090890928886988,0.4070014405504141,GPT,GPT reasoning,0.9609856262833676,2024-12-17,7.0460762142048186
openai/gpt-4o-2024-08-06,tom_12dim_freeresponse,0.05063916266896287,0.3939817499731621,GPT,GPT standard,0.5968514715947981,2024-08-06,7.004417211366473
openai/gpt-4o-mini,tom_12dim_freeresponse,-0.9901902181754997,0.3372677030730148,GPT,GPT mini,0.5448323066392882,2024-07-18,6.7338738615122775
openai-api/local/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,0.9980702927828441,0.4890552093263267,Llama,Llama large,0.9308692676249144,2024-12-06,7.250683502859122
openai-api/local/google/gemma-7b-it,tom_12dim_freeresponse,-2.0506853046579603,0.3199865564787338,Gemma,Gemma large,0.13963039014373715,2024-02-21,6.458218794042814
openai-api/local/deepseek/deepseek-llm-7b-chat,tom_12dim_freeresponse,-2.255570871361484,0.3203264732074218,DeepSeek,DeepSeek V,-0.09034907597535936,2023-11-29,6.404962776704243
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_freeresponse,-0.24295698862910922,0.373244740141601,DeepSeek,DeepSeek V,-0.09034907597535936,2023-11-29,6.928102603287256
openai-api/local/mistralai/mixtral-8x7b-instruct,tom_12dim_freeresponse,-5.795682159758904,0.21272187535673823,Mistral,Mistral MoE,-0.05749486652977412,2023-12-11,5.484779714574857
openai-api/local/mistralai/mistral-7b-instruct-v0.3,tom_12dim_freeresponse,-1.102721892079331,0.3337316656444862,Mistral,Mistral small,0.3887748117727584,2024-05-22,6.704623442007457
openai-api/local/mistralai/mistral-7b-instruct-v0.2,tom_12dim_freeresponse,-0.6353630583988135,0.35151271012196394,Mistral,Mistral small,0.03832991101984941,2024-01-15,6.826104279092678
openai-api/local/mistralai/mistral-7b-instruct,tom_12dim_freeresponse,-1.8455364819031068,0.3207463163656084,Mistral,Mistral small,-0.26283367556468173,2023-09-27,6.511543239670696
openai-api/local/qwen/qwen3-8b,tom_12dim_freeresponse,0.7721452017362161,0.46237689219602834,Qwen,Qwen small,1.325119780971937,2025-04-29,7.191958670458371
openai-api/local/qwen/qwen2.5-72b-instruct,tom_12dim_freeresponse,0.21090890928886888,0.4070014405504137,Qwen,Qwen large,0.7173169062286106,2024-09-19,7.0460762142048186
