model,family,tier,task,n_items,n_correct,accuracy
anthropic/claude-fable-5,Claude,Claude Fable,tom_12dim_freeresponse,60,60,1.0
anthropic/claude-fable-5,Claude,Claude Fable,tom_12dim_mcq,124,124,1.0
anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,tom_12dim_freeresponse,60,53,0.8833333333333333
anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,tom_12dim_mcq,124,124,1.0
anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,tom_12dim_freeresponse,60,57,0.95
anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,tom_12dim_mcq,124,122,0.9838709677419355
anthropic/claude-opus-4-6,Claude,Claude Opus,tom_12dim_freeresponse,60,59,0.9833333333333333
anthropic/claude-opus-4-6,Claude,Claude Opus,tom_12dim_mcq,124,124,1.0
anthropic/claude-opus-4-7,Claude,Claude Opus,tom_12dim_freeresponse,60,59,0.9833333333333333
anthropic/claude-opus-4-7,Claude,Claude Opus,tom_12dim_mcq,124,124,1.0
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_freeresponse,60,59,0.9833333333333333
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,124,124,1.0
anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,tom_12dim_freeresponse,60,59,0.9833333333333333
anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,tom_12dim_mcq,124,124,1.0
anthropic/claude-sonnet-4-6,Claude,Claude Sonnet,tom_12dim_freeresponse,60,59,0.9833333333333333
anthropic/claude-sonnet-4-6,Claude,Claude Sonnet,tom_12dim_mcq,124,43,0.3467741935483871
anthropic/claude-sonnet-5,Claude,Claude Sonnet,tom_12dim_freeresponse,60,59,0.9833333333333333
anthropic/claude-sonnet-5,Claude,Claude Sonnet,tom_12dim_mcq,124,124,1.0
openai-api/local/deepseek/deepseek-llm-67b-chat,DeepSeek,DeepSeek V,tom_12dim_freeresponse,60,47,0.7833333333333333
openai-api/local/deepseek/deepseek-llm-67b-chat,DeepSeek,DeepSeek V,tom_12dim_mcq,124,96,0.7741935483870968
openai-api/local/deepseek/deepseek-llm-7b-chat,DeepSeek,DeepSeek V,tom_12dim_freeresponse,60,29,0.48333333333333334
openai-api/local/deepseek/deepseek-llm-7b-chat,DeepSeek,DeepSeek V,tom_12dim_mcq,124,0,0.0
openai-api/local/google/gemma-7b-it,Gemma,Gemma large,tom_12dim_freeresponse,60,31,0.5166666666666667
openai-api/local/google/gemma-7b-it,Gemma,Gemma large,tom_12dim_mcq,124,96,0.7741935483870968
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,60,55,0.9166666666666666
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_mcq,124,124,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,tom_12dim_freeresponse,60,49,0.8166666666666667
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,tom_12dim_mcq,124,115,0.9274193548387096
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_freeresponse,60,45,0.75
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_mcq,124,113,0.9112903225806451
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,60,54,0.9
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,124,124,1.0
