item_id,task,a,b,g,tom_dimension,validated_age_band,age_mid,dim_rank
DBEL_01,tom_12dim_mcq,1,-3.217677217673637,0,Diverse Beliefs,3-4 yrs,3.5,1
DBEL_02,tom_12dim_mcq,1,-2.491628271519469,0,Diverse Beliefs,3-4 yrs,3.5,1
DBEL_03,tom_12dim_mcq,1,-2.491628271519469,0,Diverse Beliefs,3-4 yrs,3.5,1
DBEL_04,tom_12dim_mcq,1,-3.217677217673637,0,Diverse Beliefs,4-5 yrs,4.5,1
DBEL_05,tom_12dim_mcq,1,-1.8856421441412583,0,Diverse Beliefs,4-5 yrs,4.5,1
DBEL_06,tom_12dim_mcq,1,-3.217677217673637,0,Diverse Beliefs,4-5 yrs,4.5,1
DBEL_07,tom_12dim_mcq,1,-4.097267236233445,0,Diverse Beliefs,3-4 yrs,3.5,1
DBEL_08,tom_12dim_mcq,1,-4.097267236233445,0,Diverse Beliefs,3-4 yrs,3.5,1
DBEL_09,tom_12dim_mcq,1,-2.491628271519469,0,Diverse Beliefs,4-5 yrs,4.5,1
DBEL_10,tom_12dim_mcq,1,-4.097267236233445,0,Diverse Beliefs,3-4 yrs,3.5,1
DD_01,tom_12dim_mcq,1,-1.8856421441412583,0,Diverse Desires,2-3 yrs,2.5,0
DD_02,tom_12dim_mcq,1,-2.491628271519469,0,Diverse Desires,2-3 yrs,2.5,0
DD_03,tom_12dim_mcq,1,-3.217677217673637,0,Diverse Desires,2-3 yrs,2.5,0
DD_04,tom_12dim_mcq,1,-4.097267236233445,0,Diverse Desires,3-4 yrs,3.5,0
DD_05,tom_12dim_mcq,1,-1.8856421441412587,0,Diverse Desires,2-3 yrs,2.5,0
DD_06,tom_12dim_mcq,1,-1.3639876729412483,0,Diverse Desires,3-4 yrs,3.5,0
DD_07,tom_12dim_mcq,1,-2.491628271519469,0,Diverse Desires,2-3 yrs,2.5,0
DD_08,tom_12dim_mcq,1,-2.491628271519469,0,Diverse Desires,3-4 yrs,3.5,0
DD_09,tom_12dim_mcq,1,-1.885642144141259,0,Diverse Desires,3-4 yrs,3.5,0
DD_10,tom_12dim_mcq,1,-1.885642144141258,0,Diverse Desires,3-4 yrs,3.5,0
ER_01,tom_12dim_mcq,1,-5.123315220880582,0,Emotion Recognition,3-4 yrs,3.5,3
ER_02,tom_12dim_mcq,1,-2.491628271519469,0,Emotion Recognition,3-4 yrs,3.5,3
ER_03,tom_12dim_mcq,1,-3.2176772176736375,0,Emotion Recognition,3-4 yrs,3.5,3
ER_04,tom_12dim_mcq,1,-3.217677217673637,0,Emotion Recognition,3-4 yrs,3.5,3
ER_05,tom_12dim_mcq,1,-2.491628271519469,0,Emotion Recognition,3-5 yrs,4,3
ER_06,tom_12dim_mcq,1,-2.4916282715194686,0,Emotion Recognition,6-8 yrs,7,3
ER_07,tom_12dim_mcq,1,-3.2176772176736375,0,Emotion Recognition,6-8 yrs,7,3
ER_08,tom_12dim_mcq,1,-3.2176772176736375,0,Emotion Recognition,6-8 yrs,7,3
ER_09,tom_12dim_mcq,1,-2.491628271519469,0,Emotion Recognition,6-9 yrs,7.5,3
ER_10,tom_12dim_mcq,1,-2.491628271519469,0,Emotion Recognition,6-8 yrs,7,3
ER_11,tom_12dim_mcq,1,-2.491628271519469,0,Emotion Recognition,4-6 yrs,5,3
ER_12,tom_12dim_mcq,1,-3.2176772176736375,0,Emotion Recognition,6-8 yrs,7,3
FOFB_01,tom_12dim_mcq,1,-0.8981684592997586,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_02,tom_12dim_mcq,1,-1.8856421441412585,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_03,tom_12dim_mcq,1,-1.3639876729412486,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_04,tom_12dim_mcq,1,-1.8856421441412585,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_05,tom_12dim_mcq,1,-0.05851651393672066,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_06,tom_12dim_mcq,1,-1.3639876729412488,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_07,tom_12dim_mcq,1,-0.05851651393672027,0,First-Order False Belief,5-6 yrs,5.5,4
FOFB_08,tom_12dim_mcq,1,1.088214348910495,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_09,tom_12dim_mcq,1,0.3360638202383891,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_10,tom_12dim_mcq,1,-3.2176772176736375,0,First-Order False Belief,5-6 yrs,5.5,4
FOFB_11,tom_12dim_mcq,1,-1.885642144141258,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_12,tom_12dim_mcq,1,-2.4916282715194686,0,First-Order False Belief,5-6 yrs,5.5,4
FP_01,tom_12dim_mcq,1,-1.3639876729412483,0,Faux Pas Detection,9-11 yrs,10,10
FP_02,tom_12dim_mcq,1,-1.3639876729412483,0,Faux Pas Detection,9-11 yrs,10,10
FP_03,tom_12dim_mcq,1,-1.3639876729412483,0,Faux Pas Detection,9-11 yrs,10,10
FP_04,tom_12dim_mcq,1,-3.2176772176736375,0,Faux Pas Detection,9-11 yrs,10,10
FP_05,tom_12dim_mcq,1,-1.3639876729412483,0,Faux Pas Detection,9-11 yrs,10,10
FP_06,tom_12dim_mcq,1,-1.3639876729412486,0,Faux Pas Detection,9-11 yrs,10,10
FP_07,tom_12dim_mcq,1,-2.491628271519469,0,Faux Pas Detection,10-12 yrs,11,10
