task,scope,kr20,n_items,n_models
tom_12dim_freeresponse,overall,0.9615,60,31
tom_12dim_freeresponse,Diverse Beliefs,0.5337,5,31
tom_12dim_freeresponse,Diverse Desires,0.7397,5,31
tom_12dim_freeresponse,Emotion Recognition,0.7672,5,31
tom_12dim_freeresponse,Faux Pas Detection,0.6354,5,31
tom_12dim_freeresponse,First-Order False Belief,0.831,5,31
tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),0.7469,5,31
tom_12dim_freeresponse,Intention vs. Accident,0.6534,5,31
tom_12dim_freeresponse,Irony,0.7904,5,31
tom_12dim_freeresponse,Knowledge Access / Ignorance,0.7179,5,31
tom_12dim_freeresponse,Sarcasm,0.6774,5,31
tom_12dim_freeresponse,Second-Order False Belief,0.5958,5,31
tom_12dim_freeresponse,White Lies / Prosocial Deception,0.5411,5,31
tom_12dim_mcq,overall,0.9947,124,31
tom_12dim_mcq,Diverse Beliefs,0.9786,10,31
tom_12dim_mcq,Diverse Desires,0.9758,10,31
tom_12dim_mcq,Emotion Recognition,0.9807,12,31
tom_12dim_mcq,Faux Pas Detection,0.956,10,31
tom_12dim_mcq,First-Order False Belief,0.9461,12,31
tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),0.9593,10,31
tom_12dim_mcq,Intention vs. Accident,0.9675,10,31
tom_12dim_mcq,Irony,0.9446,10,31
tom_12dim_mcq,Knowledge Access / Ignorance,0.9637,10,31
tom_12dim_mcq,Sarcasm,0.9527,10,31
tom_12dim_mcq,Second-Order False Belief,0.975,10,31
tom_12dim_mcq,White Lies / Prosocial Deception,0.9421,10,31
