task,item_id,tom_dimension,facility,discrimination,flag,n_models
tom_12dim_freeresponse,DBEL_FR_01,Diverse Beliefs,0.7667,0.4898,,30
tom_12dim_freeresponse,DBEL_FR_02,Diverse Beliefs,0.9667,0.8087,too-easy,30
tom_12dim_freeresponse,DBEL_FR_03,Diverse Beliefs,0.9333,0.6312,too-easy,30
tom_12dim_freeresponse,DBEL_FR_04,Diverse Beliefs,0.9667,0.8087,too-easy,30
tom_12dim_freeresponse,DBEL_FR_05,Diverse Beliefs,0.6,0.4098,,30
tom_12dim_freeresponse,DD_FR_01,Diverse Desires,0.9667,0.8087,too-easy,30
tom_12dim_freeresponse,DD_FR_02,Diverse Desires,0.5667,0.3227,,30
tom_12dim_freeresponse,DD_FR_03,Diverse Desires,0.9333,0.6786,too-easy,30
tom_12dim_freeresponse,DD_FR_04,Diverse Desires,0.9333,0.5839,too-easy,30
tom_12dim_freeresponse,DD_FR_05,Diverse Desires,0.9667,0.8087,too-easy,30
tom_12dim_freeresponse,ER_FR_01,Emotion Recognition,0.9667,0.8087,too-easy,30
tom_12dim_freeresponse,ER_FR_02,Emotion Recognition,0.9667,0.8087,too-easy,30
tom_12dim_freeresponse,ER_FR_03,Emotion Recognition,0.9667,0.8087,too-easy,30
tom_12dim_freeresponse,ER_FR_04,Emotion Recognition,0.6667,0.5303,,30
tom_12dim_freeresponse,ER_FR_05,Emotion Recognition,0.9667,0.8087,too-easy,30
tom_12dim_freeresponse,FOFB_FR_01,First-Order False Belief,0.8,0.5905,,30
tom_12dim_freeresponse,FOFB_FR_02,First-Order False Belief,0.9,0.7233,,30
tom_12dim_freeresponse,FOFB_FR_03,First-Order False Belief,0.8333,0.6641,,30
tom_12dim_freeresponse,FOFB_FR_04,First-Order False Belief,0.8333,0.5374,,30
tom_12dim_freeresponse,FOFB_FR_05,First-Order False Belief,0.7,0.6024,,30
tom_12dim_freeresponse,FP_FR_01,Faux Pas Detection,0.2,0.2879,low-disc,30
tom_12dim_freeresponse,FP_FR_02,Faux Pas Detection,0.3667,0.5402,,30
tom_12dim_freeresponse,FP_FR_03,Faux Pas Detection,0.5667,0.4121,,30
tom_12dim_freeresponse,FP_FR_04,Faux Pas Detection,0.8,0.4355,,30
tom_12dim_freeresponse,FP_FR_05,Faux Pas Detection,0.6333,0.532,,30
tom_12dim_freeresponse,HE_FR_01,Hidden Emotion (Appearance vs. Reality),0.8,0.5536,,30
tom_12dim_freeresponse,HE_FR_02,Hidden Emotion (Appearance vs. Reality),0.9333,0.5366,too-easy,30
tom_12dim_freeresponse,HE_FR_03,Hidden Emotion (Appearance vs. Reality),0.9,0.6446,,30
tom_12dim_freeresponse,HE_FR_04,Hidden Emotion (Appearance vs. Reality),0.9333,0.6312,too-easy,30
tom_12dim_freeresponse,HE_FR_05,Hidden Emotion (Appearance vs. Reality),0.6667,0.5303,,30
tom_12dim_freeresponse,IA_FR_01,Intention vs. Accident,0.9667,0.8087,too-easy,30
tom_12dim_freeresponse,IA_FR_02,Intention vs. Accident,0.8333,0.5849,,30
tom_12dim_freeresponse,IA_FR_03,Intention vs. Accident,0.7333,0.4362,,30
tom_12dim_freeresponse,IA_FR_04,Intention vs. Accident,0.8667,0.6572,,30
tom_12dim_freeresponse,IA_FR_05,Intention vs. Accident,0.9,0.5265,,30
