tom_dimension,mean_accuracy,n_items,n_responses,std,min,max,rank
Faux Pas Detection,0.7266666666666667,15,450,0.2697238548115574,0.0,1.0,10
Knowledge Access / Ignorance,0.8088888888888889,15,450,0.26536078719710005,0.0,1.0,2
First-Order False Belief,0.8117647058823529,17,510,0.2920413528455601,0.0,1.0,4
Sarcasm,0.8266666666666667,15,450,0.2698658670652822,0.0,1.0,9
White Lies / Prosocial Deception,0.8288888888888889,15,450,0.24428068356443483,0.0,1.0,8
Second-Order False Belief,0.8333333333333334,15,450,0.26938271995142743,0.0,1.0,7
Hidden Emotion (Appearance vs. Reality),0.8355555555555556,15,450,0.26994157638562855,0.0,1.0,6
Intention vs. Accident,0.84,15,450,0.2552738744130593,0.0,1.0,5
Diverse Desires,0.8688888888888889,15,450,0.2403594583554912,0.0,1.0,0
Diverse Beliefs,0.88,15,450,0.2224213667070142,0.0,1.0,1
Irony,0.8822222222222222,15,450,0.22670948434889532,0.0,1.0,11
Emotion Recognition,0.8960784313725491,17,510,0.23765716712447407,0.0,1.0,3
