family,dim_rank,tom_dimension,validated_age_band,slope_logodds,slope_or,se,lo,hi
Claude,0,Diverse Desires,2-3 yrs,4.187847676771003,65.8808413892607,2.597646574882392,0.4051331056284127,10713.232766857196
Claude,1,Diverse Beliefs,3-4 yrs,4.0621337617308875,58.09814651598777,2.4872134502580994,0.44361216489024063,7608.886535896347
Claude,2,Knowledge Access / Ignorance,3-4 yrs,3.9364198466907716,51.23484396092441,2.3957366449445123,0.46802948757969304,5608.640706112139
Claude,3,Emotion Recognition,6-8 yrs,3.8107059316506557,45.18232324292665,2.3254543002075505,0.47369837629953454,4309.582712897967
Claude,4,First-Order False Belief,4-5 yrs,3.6849920166105403,39.844804352000565,2.2783286941124636,0.45816210160611176,3465.1675210231406
Claude,5,Intention vs. Accident,7-8 yrs,3.5592781015704245,35.13782204853188,2.255811579036962,0.4222690565523266,2923.8858949194555
Claude,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,3.4335641865303086,30.98688921664392,2.258639065334892,0.37032718454915303,2592.808044846947
Claude,7,Second-Order False Belief,6-7 yrs,3.3078502714901927,27.3263181195,2.2867171404515965,0.3090923053755612,2415.872698806935
Claude,8,White Lies / Prosocial Deception,5-7 yrs,3.1821363564500773,24.098180903135837,2.3391366866970373,0.2459636423061365,2361.008795427862
Claude,9,Sarcasm,6-8 yrs,3.0564224414099614,21.25139289898914,2.4143127186235573,0.1871901213135146,2412.6363986420483
Claude,10,Faux Pas Detection,9-11 yrs,2.9307085263698456,18.740904218560228,2.5102015204364703,0.13679299876994405,2567.5399624795596
Claude,11,Irony,7-9 yrs,2.8049946113297297,16.52698684734002,2.62453381550596,0.09641517554763768,2832.969941720367
GPT,0,Diverse Desires,2-3 yrs,-1.249913535788503,0.2865295703425351,1.8268936616669298,0.007981530350541973,10.28614702631595
GPT,1,Diverse Beliefs,3-4 yrs,-1.0337024085436104,0.35568761882638683,1.6565247180606246,0.013835869000884852,9.143891300090662
GPT,2,Knowledge Access / Ignorance,3-4 yrs,-0.8174912812987177,0.441537960759662,1.5030378180386388,0.02320365650732309,8.401941768542933
GPT,3,Emotion Recognition,3-4 yrs,-0.6012801540538251,0.5481095221561813,1.3721100807749955,0.037230911354074754,8.069210163059765
GPT,4,First-Order False Belief,4-5 yrs,-0.3850690268089325,0.6804036684895687,1.2707337704947756,0.056376255157153915,8.211775521512564
GPT,5,Intention vs. Accident,4-5 yrs,-0.16885789956403996,0.8446289169961688,1.2063819492966827,0.07939129748610223,8.985846434251865
GPT,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,0.047353227680852816,1.048492300180857,1.1851014092065502,0.10275111908118982,10.699018301395759
GPT,7,Second-Order False Belief,6-7 yrs,0.26356435492574537,1.301561054111448,1.2091683683504664,0.12167452257518162,13.922891511926482
GPT,8,White Lies / Prosocial Deception,5-7 yrs,0.4797754821706379,1.6157116054047231,1.2760195086035317,0.1324933591158495,19.703055377718346
GPT,9,Sarcasm,6-8 yrs,0.6959866094155305,2.0056869277036453,1.3794485420108138,0.13429283428258781,29.955284460645824
GPT,10,Faux Pas Detection,9-11 yrs,0.912197736660423,2.4897884241870085,1.5119674679622612,0.12857299254533755,48.2142188222749
GPT,11,Irony,6-8 yrs,1.1284088639053158,3.090734805911634,1.6666516788753905,0.11786346193870649,81.04837142354914
Llama,0,Diverse Desires,2-3 yrs,2.7159215427730214,15.118536031844796,3.8681986273618847,0.0077060636974574164,29661.074800303733
Llama,1,Diverse Beliefs,3-4 yrs,2.6048387281657117,13.52904327317759,3.646731031889851,0.01064405142691144,17195.990938632895
Llama,2,Knowledge Access / Ignorance,3-4 yrs,2.4937559135584024,12.106662411094414,3.461231403777733,0.013701394844741002,10697.544038187089
Llama,3,Emotion Recognition,6-8 yrs,2.3826730989510927,10.833824075852844,3.3177383042323645,0.01624298789735393,7225.994678334354
Llama,4,First-Order False Belief,4-5 yrs,2.2715902843437834,9.694806059758518,3.2218691924981724,0.017539964202395612,5358.577899691122
Llama,5,Intention vs. Accident,7-8 yrs,2.1605074697364737,8.67553911511449,3.1779370266088844,0.01710731545761442,4399.578596908454
Llama,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,2.0494246551291644,7.7634331696735615,3.188089617614178,0.01500711292320247,4016.155198432798
Llama,7,Second-Order False Belief,6-7 yrs,1.9383418405218547,6.947221812991881,3.251820426793526,0.011852384642484715,4072.08273902189
Llama,8,White Lies / Prosocial Deception,5-7 yrs,1.827259025914545,6.216823132766093,3.3660876072390997,0.008478068008903281,4558.690709193216
Llama,9,Sarcasm,6-8 yrs,1.7161762113072356,5.563215182192544,3.525981350550564,0.00554561787167375,5580.868332357102
Llama,10,Faux Pas Detection,9-11 yrs,1.605093396699926,4.978324540110745,3.7256317856944516,0.0033555321629732356,7385.926888183598
Llama,11,Irony,7-9 yrs,1.4940105820926164,4.454926587416533,3.959028786716255,0.0019004095947262357,10443.207061438614
Mistral,0,Diverse Desires,2-3 yrs,-0.33377349846480103,0.7162159878773889,7.549389541119602,2.684564861038015e-7,1910795.1114760581
Mistral,1,Diverse Beliefs,3-4 yrs,-0.2290589404137472,0.7952816578937117,7.54169754738142,3.0262054793687404e-7,2089986.6836342635
Mistral,2,Knowledge Access / Ignorance,3-4 yrs,-0.12434438236269338,0.8830756728240555,7.535580222729633,3.4008113382286317e-7,2293048.8238722524
Mistral,3,Emotion Recognition,6-8 yrs,-0.019629824311639565,0.980561586191996,7.531041404388321,3.809982797534357e-7,2523636.1301620626
Mistral,4,First-Order False Belief,4-5 yrs,0.08508473373941428,1.0888093216751236,7.528083947488272,4.255174822799679e-7,2786032.9794549854
Mistral,5,Intention vs. Accident,7-8 yrs,0.18979929179046812,1.2090069156905747,7.526709716114484,4.7376626352723866e-7,3085271.8623422994
Mistral,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,0.2945138498415219,1.3424735562869974,7.52691957744175,5.258506909863194e-7,3427275.6130632237
Mistral,7,Second-Order False Belief,6-7 yrs,0.3992284078925758,1.4906740614468992,7.528713399001305,5.818519202491767e-7,3819028.6568427584
Mistral,8,White Lies / Prosocial Deception,5-7 yrs,0.5039429659436296,1.6552349557010908,7.532090049098579,6.418228343544484e-7,4268783.551975851
Mistral,9,Sarcasm,6-8 yrs,0.6086575239946834,1.8379623214986687,7.537047400379015,7.057848571931361e-7,4786310.531913784
Mistral,10,Faux Pas Detection,9-11 yrs,0.7133720820457372,2.040861621254214,7.543582336515751,7.737250202113695e-7,5383199.519605211
Mistral,11,Irony,7-9 yrs,0.818086640096791,2.266159707622383,7.551690761970262,8.45593361241991e-7,6073226.276171644
Qwen,0,Diverse Desires,2-3 yrs,1.6830219795347718,5.381795096252822,1.2166247918674256,0.4958099393306644,58.41697828234642
Qwen,1,Diverse Beliefs,3-4 yrs,1.6960979542285717,5.45262941735904,1.1928574204926656,0.5262901565375531,56.49196967438955
Qwen,2,Knowledge Access / Ignorance,3-4 yrs,1.7091739289223717,5.524396048402155,1.1729460653098362,0.5544379621883987,55.04484501591718
Qwen,3,Emotion Recognition,6-8 yrs,1.7222499036161716,5.597107260295543,1.1570898079624967,0.5794672569799201,54.06277801877363
Qwen,4,First-Order False Belief,4-5 yrs,1.7353258783099714,5.6707754854603705,1.1454570617526436,0.6006337310682143,53.539608155716664
