family,tier,model,date_years,release_date,accuracy,n
Claude,Claude Fable,anthropic/claude-fable-5,2.4777549623545516,2026-06-24,1,184
Claude,Claude Haiku,anthropic/claude-haiku-4-5-20251001,1.749486652977413,2025-10-01,0.9619565217391305,184
Claude,Claude Opus,anthropic/claude-opus-4-5-20251101,1.834360027378508,2025-11-01,0.9728260869565217,184
Claude,Claude Opus,anthropic/claude-opus-4-6,2.1711156741957565,2026-03-04,0.9945652173913043,184
Claude,Claude Opus,anthropic/claude-opus-4-7,2.3874058863791925,2026-05-22,0.9945652173913043,184
Claude,Claude Opus,anthropic/claude-opus-4-8,2.521560574948665,2026-07-10,0.9945652173913043,184
Claude,Claude Sonnet,anthropic/claude-sonnet-4-5-20250929,1.7440109514031483,2025-09-29,0.9945652173913043,184
Claude,Claude Sonnet,anthropic/claude-sonnet-4-6,2.0369609856262834,2026-01-14,0.5543478260869565,184
Claude,Claude Sonnet,anthropic/claude-sonnet-5,2.4777549623545516,2026-06-24,0.9945652173913043,184
GPT,GPT mini,openai/gpt-4o-mini,0.5448323066392882,2024-07-18,0.8967391304347826,184
GPT,GPT reasoning,openai/o1,0.9609856262833676,2024-12-17,0.9456521739130435,184
GPT,GPT reasoning mini,openai/o3-mini,1.0841889117043122,2025-01-31,0.907608695652174,184
GPT,GPT reasoning mini,openai/o4-mini,1.2895277207392195,2025-04-16,0.9184782608695652,184
GPT,GPT standard,openai/gpt-4o-2024-08-06,0.5968514715947981,2024-08-06,0.9402173913043478,184
Llama,Llama large,openai-api/local/meta-llama/llama-3-70b-instruct,0.29568788501026694,2024-04-18,0.9728260869565217,184
Llama,Llama large,openai-api/local/meta-llama/llama-3.3-70b-instruct,0.9308692676249144,2024-12-06,0.967391304347826,184
Llama,Llama small,openai-api/local/meta-llama/llama-3-8b-instruct,0.29568788501026694,2024-04-18,0.8913043478260869,184
Llama,Llama small,openai-api/local/meta-llama/llama-3.1-8b-instruct,0.5585215605749486,2024-07-23,0.8586956521739131,184
Mistral,Mistral MoE,openai-api/local/mistralai/mixtral-8x7b-instruct,-0.05749486652977412,2023-12-11,0,184
Mistral,Mistral small,openai-api/local/mistralai/mistral-7b-instruct,-0.26283367556468173,2023-09-27,0.6358695652173914,184
Mistral,Mistral small,openai-api/local/mistralai/mistral-7b-instruct-v0.2,0.03832991101984941,2024-01-15,0.782608695652174,184
Mistral,Mistral small,openai-api/local/mistralai/mistral-7b-instruct-v0.3,0.3887748117727584,2024-05-22,0.2826086956521739,184
Qwen,Qwen large,openai-api/local/qwen/qwen-1.5-72b-chat,0.09308692676249145,2024-02-04,0.9510869565217391,184
Qwen,Qwen large,openai-api/local/qwen/qwen2-72b-instruct,0.42984257357973993,2024-06-06,0.967391304347826,184
Qwen,Qwen large,openai-api/local/qwen/qwen2.5-72b-instruct,0.7173169062286106,2024-09-19,0.9456521739130435,184
Qwen,Qwen mid,openai-api/local/qwen/qwen1.5-14b-chat,0.09308692676249145,2024-02-04,0.483695652173913,184
Qwen,Qwen small,openai-api/local/qwen/qwen1.5-7b-chat,0.09308692676249145,2024-02-04,0.6793478260869565,184
Qwen,Qwen small,openai-api/local/qwen/qwen2-7b-instruct,0.42984257357973993,2024-06-06,0.8967391304347826,184
Qwen,Qwen small,openai-api/local/qwen/qwen2.5-7b-instruct,0.7173169062286106,2024-09-19,0.7663043478260869,184
Qwen,Qwen small,openai-api/local/qwen/qwen3-8b,1.325119780971937,2025-04-29,0.9565217391304348,184
