model,task,theta,theta_se,family,tier,date_years,release_date,age_anchored_theta
openai/o4-mini,tom_12dim_mcq,4.118176061916848,1.0717933644463908,GPT,GPT reasoning mini,1.2895277207392195,2025-04-16,7.141916105819944
openai/o3-mini,tom_12dim_mcq,2.296237164709776,0.74865493892786,GPT,GPT reasoning mini,1.0841889117043122,2025-01-31,6.869048167491396
openai/o1,tom_12dim_mcq,4.118176061916848,1.0717933644463908,GPT,GPT reasoning,0.9609856262833676,2024-12-17,7.141916105819944
openai/gpt-4o-2024-08-06,tom_12dim_mcq,4.118176061916848,1.0717933644463908,GPT,GPT standard,0.5968514715947981,2024-08-06,7.141916105819944
openai/gpt-4o-mini,tom_12dim_mcq,4.118176061916848,1.0717933644463908,GPT,GPT mini,0.5448323066392882,2024-07-18,7.141916105819944
openai-api/local/meta-llama/llama-3.3-70b-instruct,tom_12dim_mcq,4.118176061916848,1.0717933644463908,Llama,Llama large,0.9308692676249144,2024-12-06,7.141916105819944
openai-api/local/mistralai/mixtral-8x7b-instruct,tom_12dim_mcq,-5.907428460388491,0.12218673190223037,Mistral,Mistral MoE,-0.05749486652977412,2023-12-11,5.640402503639078
openai-api/local/mistralai/mistral-7b-instruct-v0.3,tom_12dim_mcq,-5.22867700997575,0.3120811773811616,Mistral,Mistral small,0.3887748117727584,2024-05-22,5.742057673960954
openai-api/local/mistralai/mistral-7b-instruct-v0.2,tom_12dim_mcq,-0.7548052647954006,0.2491127096860274,Mistral,Mistral small,0.03832991101984941,2024-01-15,6.412099990596866
openai-api/local/mistralai/mistral-7b-instruct,tom_12dim_mcq,-1.5925995088268508,0.21405201531275342,Mistral,Mistral small,-0.26283367556468173,2023-09-27,6.286625317180086
openai-api/local/qwen/qwen3-8b,tom_12dim_mcq,3.022859059200654,0.9633000408896656,Qwen,Qwen small,1.325119780971937,2025-04-29,6.977872793058174
openai-api/local/qwen/qwen2.5-72b-instruct,tom_12dim_mcq,4.118176061916848,1.0717933644463908,Qwen,Qwen large,0.7173169062286106,2024-09-19,7.141916105819944
openai-api/local/qwen/qwen2.5-7b-instruct,tom_12dim_mcq,-1.1529766145823446,0.22931446756770366,Qwen,Qwen small,0.7173169062286106,2024-09-19,6.352466708995375
openai-api/local/qwen/qwen2-72b-instruct,tom_12dim_mcq,3.022859059200653,0.9633000408896631,Qwen,Qwen large,0.42984257357973993,2024-06-06,6.977872793058174
openai-api/local/qwen/qwen2-7b-instruct,tom_12dim_mcq,0.8529913691572728,0.41248748905319294,Qwen,Qwen small,0.42984257357973993,2024-06-06,6.652896294704963
openai-api/local/qwen/qwen-1.5-72b-chat,tom_12dim_mcq,2.2962371647097735,0.7486549389278595,Qwen,Qwen large,0.09308692676249145,2024-02-04,6.869048167491395
openai-api/local/qwen/qwen1.5-14b-chat,tom_12dim_mcq,-3.4516847438075597,0.21418338158684364,Qwen,Qwen mid,0.09308692676249145,2024-02-04,6.00819405034459
openai-api/local/qwen/qwen1.5-7b-chat,tom_12dim_mcq,-1.7719356923684242,0.20961818132553992,Qwen,Qwen small,0.09308692676249145,2024-02-04,6.259766515962485
openai-api/local/meta-llama/llama-3.1-8b-instruct,tom_12dim_mcq,0.3016884529806126,0.3377084757400586,Llama,Llama small,0.5585215605749486,2024-07-23,6.57032882201845
openai-api/local/meta-llama/llama-3-70b-instruct,tom_12dim_mcq,4.118176061916848,1.0717933644463908,Llama,Llama large,0.29568788501026694,2024-04-18,7.141916105819944
