type,label,value,task
item,DBEL_FR_01,0.9021845082323827,tom_12dim_freeresponse
item,DBEL_FR_02,-2.4327393404298014,tom_12dim_freeresponse
item,DBEL_FR_03,-0.022801340793831622,tom_12dim_freeresponse
item,DBEL_FR_04,-2.4327393404298014,tom_12dim_freeresponse
item,DBEL_FR_05,3.032694560903221,tom_12dim_freeresponse
item,DD_FR_01,-2.4327393404298014,tom_12dim_freeresponse
item,DD_FR_02,-0.02280134079383191,tom_12dim_freeresponse
item,DD_FR_03,-2.4327393404298014,tom_12dim_freeresponse
item,DD_FR_04,-2.4327393404298014,tom_12dim_freeresponse
item,DD_FR_05,-2.4327393404298014,tom_12dim_freeresponse
item,ER_FR_01,-2.4327393404298014,tom_12dim_freeresponse
item,ER_FR_02,-2.4327393404298014,tom_12dim_freeresponse
item,ER_FR_03,-2.4327393404298014,tom_12dim_freeresponse
item,ER_FR_04,0.9021845082323823,tom_12dim_freeresponse
item,ER_FR_05,-2.4327393404298014,tom_12dim_freeresponse
item,FOFB_FR_01,3.0326945609032196,tom_12dim_freeresponse
item,FOFB_FR_02,-0.022801340793832062,tom_12dim_freeresponse
item,FOFB_FR_03,1.5449141235947166,tom_12dim_freeresponse
item,FOFB_FR_04,1.5449141235947164,tom_12dim_freeresponse
item,FOFB_FR_05,4.047786426732187,tom_12dim_freeresponse
item,FP_FR_01,4.686324365059238,tom_12dim_freeresponse
item,FP_FR_02,4.686324365059237,tom_12dim_freeresponse
item,FP_FR_03,3.5167130943155605,tom_12dim_freeresponse
item,FP_FR_04,0.9021845082323824,tom_12dim_freeresponse
item,FP_FR_05,3.5167130943155613,tom_12dim_freeresponse
item,HE_FR_01,2.0777575980799194,tom_12dim_freeresponse
item,HE_FR_02,-2.4327393404298014,tom_12dim_freeresponse
item,HE_FR_03,0.9021845082323817,tom_12dim_freeresponse
item,HE_FR_04,-0.022801340793831622,tom_12dim_freeresponse
item,HE_FR_05,4.047786426732187,tom_12dim_freeresponse
item,IA_FR_01,-2.4327393404298014,tom_12dim_freeresponse
item,IA_FR_02,3.5167130943155605,tom_12dim_freeresponse
item,IA_FR_03,1.5449141235947166,tom_12dim_freeresponse
item,IA_FR_04,0.9021845082323824,tom_12dim_freeresponse
item,IA_FR_05,-2.4327393404298014,tom_12dim_freeresponse
item,IRO_FR_01,-2.4327393404298014,tom_12dim_freeresponse
item,IRO_FR_02,-2.4327393404298014,tom_12dim_freeresponse
item,IRO_FR_03,-2.4327393404298014,tom_12dim_freeresponse
item,IRO_FR_04,1.5449141235947168,tom_12dim_freeresponse
