model,family,tier,task,frontier_band,guttman_cr,scalability,date_years,release_date,frontier_age_lo,frontier_age_mid,spearman_rho,spearman_p
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,10-12 yrs,0.9892,0.9784,0.29568788501026694,2024-04-18,10,11,NA,NA
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_mcq,4-6 yrs,0.8275,0.655,0.29568788501026694,2024-04-18,4,5,NA,NA
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,tom_12dim_freeresponse,10-12 yrs,0.926,0.852,0.29568788501026694,2024-04-18,10,11,-0.2357,0.7642977396044841
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,tom_12dim_mcq,4-5 yrs,0.8736,0.7473,0.29568788501026694,2024-04-18,4,4.5,-0.2357,0.7642977396044841
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_freeresponse,10-12 yrs,0.9988,0.9975,0.5585215605749486,2024-07-23,10,11,-0.2357,0.7642977396044841
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_mcq,3-5 yrs,0.8808,0.7617,0.5585215605749486,2024-07-23,3,4,-0.2357,0.7642977396044841
openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,tom_12dim_freeresponse,10-12 yrs,0.8749,0.7498,-0.26283367556468173,2023-09-27,10,11,0,1
openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,tom_12dim_mcq,NA,0.8867,0.7734,-0.26283367556468173,2023-09-27,NA,NA,0,1
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,tom_12dim_freeresponse,10-12 yrs,0.9065,0.813,0.03832991101984941,2024-01-15,10,11,0,1
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,tom_12dim_mcq,2-3 yrs,0.9597,0.9195,0.03832991101984941,2024-01-15,2,2.5,0,1
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,tom_12dim_freeresponse,10-12 yrs,0.9011,0.8022,0.3887748117727584,2024-05-22,10,11,0,1
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,tom_12dim_mcq,NA,1,1,0.3887748117727584,2024-05-22,NA,NA,0,1
openai-api/local/mistralai/mixtral-8x7b-instruct,Mistral,Mistral MoE,tom_12dim_freeresponse,NA,1,1,-0.05749486652977412,2023-12-11,NA,NA,NA,NA
openai-api/local/mistralai/mixtral-8x7b-instruct,Mistral,Mistral MoE,tom_12dim_mcq,NA,1,1,-0.05749486652977412,2023-12-11,NA,NA,NA,NA
openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,tom_12dim_freeresponse,10-12 yrs,1,1,0.09308692676249145,2024-02-04,10,11,0.2357,0.7642977396044841
openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,tom_12dim_mcq,3-5 yrs,0.863,0.7259,0.09308692676249145,2024-02-04,3,4,0.2357,0.7642977396044841
openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,tom_12dim_freeresponse,10-12 yrs,0.921,0.8421,0.09308692676249145,2024-02-04,10,11,0.1936,0.7131571709215132
openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,tom_12dim_mcq,2-3 yrs,0.9584,0.9168,0.09308692676249145,2024-02-04,2,2.5,0.1936,0.7131571709215132
openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,tom_12dim_freeresponse,10-12 yrs,1,1,0.42984257357973993,2024-06-06,10,11,0.2357,0.7642977396044841
openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,tom_12dim_mcq,4-6 yrs,0.8275,0.655,0.42984257357973993,2024-06-06,4,5,0.2357,0.7642977396044841
openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,tom_12dim_freeresponse,10-12 yrs,0.9551,0.9102,0.42984257357973993,2024-06-06,10,11,0.1936,0.7131571709215132
openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,tom_12dim_mcq,4-5 yrs,0.8803,0.7606,0.42984257357973993,2024-06-06,4,4.5,0.1936,0.7131571709215132
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,tom_12dim_freeresponse,NA,1,1,0.7173169062286106,2024-09-19,NA,NA,0.2357,0.7642977396044841
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,tom_12dim_mcq,NA,1,1,0.7173169062286106,2024-09-19,NA,NA,0.2357,0.7642977396044841
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,tom_12dim_freeresponse,10-12 yrs,0.931,0.862,0.7173169062286106,2024-09-19,10,11,0.1936,0.7131571709215132
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,tom_12dim_mcq,4-5 yrs,0.8952,0.7905,0.7173169062286106,2024-09-19,4,4.5,0.1936,0.7131571709215132
