model,family,tier,task,tom_dimension,validated_age_band,dim_rank,date_years,release_date,n,n_correct,accuracy,wilson_lo,wilson_hi,chance,pass
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Diverse Beliefs,3-4 yrs,1,0.5585215605749486,2024-07-23,2,2,1,0.34237195288961925,1,0,1
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Diverse Beliefs,4-5 yrs,1,0.5585215605749486,2024-07-23,3,3,1,0.43849391955098227,1,0,1
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Diverse Desires,2-3 yrs,0,0.5585215605749486,2024-07-23,2,2,1,0.34237195288961925,1,0,1
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Diverse Desires,3-4 yrs,0,0.5585215605749486,2024-07-23,3,3,1,0.43849391955098227,1,0,1
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Emotion Recognition,4-6 yrs,3,0.5585215605749486,2024-07-23,1,1,1,0.20654329147389294,1,0,1
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Emotion Recognition,6-8 yrs,3,0.5585215605749486,2024-07-23,3,3,1,0.43849391955098227,1,0,1
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Emotion Recognition,6-9 yrs,3,0.5585215605749486,2024-07-23,1,1,1,0.20654329147389294,1,0,1
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Faux Pas Detection,10-12 yrs,10,0.5585215605749486,2024-07-23,1,0,0,0,0.7934567085261071,0,0
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Faux Pas Detection,9-11 yrs,10,0.5585215605749486,2024-07-23,4,1,0.25,0.045586062644636216,0.6993639475573634,0,1
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,First-Order False Belief,4-5 yrs,4,0.5585215605749486,2024-07-23,4,4,1,0.5100999795960008,1,0,1
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,First-Order False Belief,5-6 yrs,4,0.5585215605749486,2024-07-23,1,0,0,0,0.7934567085261071,0,0
