tom_dimension,count,mean,std,min,25%,50%,75%,max
Diverse Beliefs,13.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Diverse Desires,10.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Emotion Recognition,12.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Faux Pas Detection,13.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
First-Order False Belief,16.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Hidden Emotion (Appearance vs. Reality),13.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Intention vs. Accident,10.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Irony,10.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Knowledge Access / Ignorance,10.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Sarcasm,10.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Second-Order False Belief,14.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
White Lies / Prosocial Deception,10.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
