task_type,tom_dimension,mean,std
freeresponse,Diverse Beliefs,0.769,0.041
freeresponse,Diverse Desires,0.82,0.06
freeresponse,Emotion Recognition,0.859,0.02
freeresponse,Faux Pas Detection,0.909,0.028
freeresponse,First-Order False Belief,0.833,0.049
freeresponse,Hidden Emotion (Appearance vs. Reality),0.837,0.027
freeresponse,Intention vs. Accident,0.79,0.053
freeresponse,Irony,0.923,0.053
freeresponse,Knowledge Access / Ignorance,0.779,0.06
freeresponse,Sarcasm,0.873,0.061
freeresponse,Second-Order False Belief,0.757,0.045
freeresponse,White Lies / Prosocial Deception,0.848,0.041
mcq,Diverse Beliefs,0.715,0.07
mcq,Diverse Desires,0.829,0.064
mcq,Emotion Recognition,0.915,0.044
mcq,Faux Pas Detection,0.898,0.052
mcq,First-Order False Belief,0.825,0.05
mcq,Hidden Emotion (Appearance vs. Reality),0.859,0.044
mcq,Intention vs. Accident,0.863,0.05
mcq,Irony,0.88,0.032
mcq,Knowledge Access / Ignorance,0.791,0.096
mcq,Sarcasm,0.911,0.05
mcq,Second-Order False Belief,0.767,0.059
mcq,White Lies / Prosocial Deception,0.869,0.062
