,,chars,chars,chars,chars,words,words,words,words,sentences,sentences,sentences,sentences
,,mean,std,min,max,mean,std,min,max,mean,std,min,max
task_type,tom_dimension,,,,,,,,,,,,
freeresponse,Diverse Beliefs,203.2,23.3,169,234,36.0,2.9,34,41,4.4,0.9,4,6
freeresponse,Diverse Desires,187.0,32.7,148,236,34.4,3.8,30,39,4.4,1.5,3,7
freeresponse,Emotion Recognition,164.8,14.7,152,190,30.0,3.5,27,36,2.8,0.4,2,3
freeresponse,Faux Pas Detection,204.6,44.2,133,235,36.6,7.4,25,43,3.6,0.5,3,4
freeresponse,First-Order False Belief,208.2,48.1,150,270,38.0,7.5,29,49,3.2,0.8,2,4
freeresponse,Hidden Emotion (Appearance vs. Reality),182.2,9.3,172,197,34.2,2.2,32,37,2.8,0.4,2,3
freeresponse,Intention vs. Accident,201.4,59.2,151,295,38.4,10.3,28,53,3.0,0.7,2,4
freeresponse,Irony,124.8,38.5,76,184,21.4,6.3,14,31,2.4,0.5,2,3
freeresponse,Knowledge Access / Ignorance,182.6,28.4,149,220,34.8,4.1,30,40,2.6,0.5,2,3
freeresponse,Sarcasm,167.2,25.9,136,194,30.4,4.8,24,36,2.6,0.5,2,3
freeresponse,Second-Order False Belief,277.0,72.0,199,376,51.6,14.6,37,72,3.6,1.5,2,6
freeresponse,White Lies / Prosocial Deception,196.2,66.7,90,267,36.2,11.6,18,47,3.0,0.7,2,4
mcq,Diverse Beliefs,184.5,33.8,152,275,33.5,5.2,28,47,4.4,1.0,3,7
mcq,Diverse Desires,165.5,26.2,139,227,30.0,4.2,24,37,4.1,1.2,2,7
mcq,Emotion Recognition,130.3,23.1,92,174,24.8,3.9,18,31,2.7,0.5,2,3
mcq,Faux Pas Detection,219.8,42.0,104,267,40.2,7.3,21,52,3.2,1.0,2,5
mcq,First-Order False Belief,226.9,27.4,171,267,41.9,5.2,34,50,3.5,0.7,2,5
mcq,Hidden Emotion (Appearance vs. Reality),199.0,35.3,132,248,36.7,6.3,25,47,3.2,0.8,2,5
mcq,Intention vs. Accident,169.6,47.8,105,247,30.7,8.6,19,48,2.3,0.7,2,4
mcq,Irony,150.8,23.2,112,181,25.2,4.6,16,32,3.0,0.0,3,3
mcq,Knowledge Access / Ignorance,176.3,51.0,114,277,32.7,8.8,25,51,2.8,0.6,2,4
mcq,Sarcasm,144.4,31.3,114,214,25.5,5.2,19,37,2.6,0.5,2,3
mcq,Second-Order False Belief,306.2,41.5,241,400,56.1,7.9,45,75,4.6,1.0,4,7
mcq,White Lies / Prosocial Deception,203.1,55.7,130,310,38.4,9.8,23,55,3.6,0.5,3,4
