task_type,tom_dimension,count
freeresponse,Diverse Beliefs,5
freeresponse,Diverse Desires,5
freeresponse,Emotion Recognition,5
freeresponse,Faux Pas Detection,5
freeresponse,First-Order False Belief,5
freeresponse,Hidden Emotion (Appearance vs. Reality),5
freeresponse,Intention vs. Accident,5
freeresponse,Irony,5
freeresponse,Knowledge Access / Ignorance,5
freeresponse,Sarcasm,5
freeresponse,Second-Order False Belief,5
freeresponse,White Lies / Prosocial Deception,5
mcq,Diverse Beliefs,13
mcq,Diverse Desires,10
mcq,Emotion Recognition,12
mcq,Faux Pas Detection,13
mcq,First-Order False Belief,16
mcq,Hidden Emotion (Appearance vs. Reality),13
mcq,Intention vs. Accident,10
mcq,Irony,10
mcq,Knowledge Access / Ignorance,10
mcq,Sarcasm,10
mcq,Second-Order False Belief,14
mcq,White Lies / Prosocial Deception,10
