tom_dimension,mean_accuracy,n_items,n_responses,std,min,max,rank
First-Order False Belief,0.5238095238095238,21,336,0.3563483225498991,0.0,1.0,4
Faux Pas Detection,0.5243055555555556,18,288,0.3187996713496971,0.0,0.9444444444444444,10
Second-Order False Belief,0.5263157894736842,19,304,0.3585133971773979,0.0,1.0,7
Sarcasm,0.5583333333333333,15,240,0.33366650016645866,0.0,1.0,9
Knowledge Access / Ignorance,0.6333333333333333,15,240,0.31079348865861495,0.0,1.0,2
White Lies / Prosocial Deception,0.6416666666666667,15,240,0.31821260072357166,0.0,1.0,8
Intention vs. Accident,0.6458333333333334,15,240,0.34574128627781353,0.0,1.0,5
Hidden Emotion (Appearance vs. Reality),0.6493055555555556,18,288,0.33500737047355383,0.0,1.0,6
Diverse Beliefs,0.6944444444444444,18,288,0.35428011980942575,0.0,1.0,1
Irony,0.7291666666666666,15,240,0.35147835927271115,0.0,1.0,11
Diverse Desires,0.7333333333333333,15,240,0.35694174231575576,0.0,1.0,0
Emotion Recognition,0.8198529411764706,17,272,0.3351521887432293,0.0,1.0,3
