task,item_id,tom_dimension,facility,discrimination,flag,n_models
tom_12dim_freeresponse,DBEL_FR_01,Diverse Beliefs,0.6875,0.6716,,16
tom_12dim_freeresponse,DBEL_FR_02,Diverse Beliefs,0.875,0.8052,,16
tom_12dim_freeresponse,DBEL_FR_03,Diverse Beliefs,0.6875,0.6869,,16
tom_12dim_freeresponse,DBEL_FR_04,Diverse Beliefs,0.8125,0.9326,,16
tom_12dim_freeresponse,DBEL_FR_05,Diverse Beliefs,0.3125,0.2844,low-disc,16
tom_12dim_freeresponse,DD_FR_01,Diverse Desires,0.875,0.8052,,16
tom_12dim_freeresponse,DD_FR_02,Diverse Desires,0.8125,0.5875,,16
tom_12dim_freeresponse,DD_FR_03,Diverse Desires,0.8125,0.9326,,16
tom_12dim_freeresponse,DD_FR_04,Diverse Desires,0.8125,0.9326,,16
tom_12dim_freeresponse,DD_FR_05,Diverse Desires,0.875,0.8052,,16
tom_12dim_freeresponse,ER_FR_01,Emotion Recognition,0.875,0.8052,,16
tom_12dim_freeresponse,ER_FR_02,Emotion Recognition,0.875,0.8052,,16
tom_12dim_freeresponse,ER_FR_03,Emotion Recognition,0.8125,0.9326,,16
tom_12dim_freeresponse,ER_FR_04,Emotion Recognition,0.625,0.6324,,16
tom_12dim_freeresponse,ER_FR_05,Emotion Recognition,0.875,0.8052,,16
tom_12dim_freeresponse,FOFB_FR_01,First-Order False Belief,0.4375,0.5364,,16
tom_12dim_freeresponse,FOFB_FR_02,First-Order False Belief,0.75,0.7634,,16
tom_12dim_freeresponse,FOFB_FR_03,First-Order False Belief,0.5625,0.7356,,16
tom_12dim_freeresponse,FOFB_FR_04,First-Order False Belief,0.625,0.6178,,16
tom_12dim_freeresponse,FOFB_FR_05,First-Order False Belief,0.1875,0.3661,too-hard,16
tom_12dim_freeresponse,FP_FR_01,Faux Pas Detection,0.125,0.1702,too-hard+low-disc,16
tom_12dim_freeresponse,FP_FR_02,Faux Pas Detection,0.125,0.2559,too-hard+low-disc,16
tom_12dim_freeresponse,FP_FR_03,Faux Pas Detection,0.3125,0.292,low-disc,16
tom_12dim_freeresponse,FP_FR_04,Faux Pas Detection,0.6875,0.5568,,16
tom_12dim_freeresponse,FP_FR_05,Faux Pas Detection,0.3125,0.5444,,16
tom_12dim_freeresponse,HE_FR_01,Hidden Emotion (Appearance vs. Reality),0.5,0.6771,,16
tom_12dim_freeresponse,HE_FR_02,Hidden Emotion (Appearance vs. Reality),0.8125,0.9326,,16
tom_12dim_freeresponse,HE_FR_03,Hidden Emotion (Appearance vs. Reality),0.625,0.7569,,16
tom_12dim_freeresponse,HE_FR_04,Hidden Emotion (Appearance vs. Reality),0.75,0.7552,,16
tom_12dim_freeresponse,HE_FR_05,Hidden Emotion (Appearance vs. Reality),0.25,0.4728,,16
tom_12dim_freeresponse,IA_FR_01,Intention vs. Accident,0.8125,0.9326,,16
tom_12dim_freeresponse,IA_FR_02,Intention vs. Accident,0.25,0.4155,,16
tom_12dim_freeresponse,IA_FR_03,Intention vs. Accident,0.5625,0.6569,,16
tom_12dim_freeresponse,IA_FR_04,Intention vs. Accident,0.6875,0.7863,,16
