model,family,tier,n,n_correct,accuracy,wilson_lo,wilson_hi
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,201,171,0.8507462686567164,0.794928177020972,0.8934085670778831
openai-api/local/meta-llama/llama-2-13b-chat,Llama,Llama other,201,70,0.3482587064676617,0.28579917773847335,0.4164097485733696
openai-api/local/meta-llama/llama-2-7b-chat,Llama,Llama other,201,117,0.582089552238806,0.5129890102038507,0.6481110788405623
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,201,195,0.9701492537313433,0.9364151595075196,0.986248986837754
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,201,170,0.845771144278607,0.7894030314309536,0.8891700709076339
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,201,176,0.8756218905472637,0.82283812356577,0.9143168293344222
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,201,0,0.0,0.0,0.018754003093121707
openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,201,173,0.8606965174129353,0.8060328865675143,0.9018311410518755
openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,201,132,0.6567164179104478,0.5886886500734323,0.7188660653749923
openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,201,195,0.9701492537313433,0.9364151595075196,0.986248986837754
openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,201,172,0.8557213930348259,0.8004712150742576,0.8976291707848648
openai-api/local/qwen/qwen2.5-32b-instruct,Qwen,Qwen other,201,181,0.900497512437811,0.8513115829517471,0.9346615787497822
openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,201,117,0.582089552238806,0.5129890102038507,0.6481110788405623
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,201,116,0.5771144278606966,0.5079994046111964,0.643337042672949
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,201,58,0.2885572139303483,0.23034729419176855,0.354697930996865
openai-api/local/mistralai/mixtral-8x7b-instruct,Mistral,Mistral MoE,201,0,0.0,0.0,0.018754003093121707
