task,scope,kr20,n_items,n_models
tom_12dim_freeresponse,overall,0.9413,60,13
tom_12dim_freeresponse,Diverse Beliefs,0.907,5,13
tom_12dim_freeresponse,Diverse Desires,0.3059,5,13
tom_12dim_freeresponse,Emotion Recognition,0.0962,5,13
tom_12dim_freeresponse,Faux Pas Detection,0.3702,5,13
tom_12dim_freeresponse,First-Order False Belief,0.8312,5,13
tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),0.5495,5,13
tom_12dim_freeresponse,Intention vs. Accident,0.6669,5,13
tom_12dim_freeresponse,Irony,0.0962,5,13
tom_12dim_freeresponse,Knowledge Access / Ignorance,0.5338,5,13
tom_12dim_freeresponse,Sarcasm,0.7024,5,13
tom_12dim_freeresponse,Second-Order False Belief,0.5621,5,13
tom_12dim_freeresponse,White Lies / Prosocial Deception,0.8188,5,13
tom_12dim_mcq,overall,0.984,141,13
tom_12dim_mcq,Diverse Beliefs,0.8833,13,13
tom_12dim_mcq,Diverse Desires,0.9135,10,13
tom_12dim_mcq,Emotion Recognition,,12,13
tom_12dim_mcq,Faux Pas Detection,0.9476,13,13
tom_12dim_mcq,First-Order False Belief,0.9037,16,13
tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),0.906,13,13
tom_12dim_mcq,Intention vs. Accident,-0.2735,10,13
tom_12dim_mcq,Irony,0.7692,10,13
tom_12dim_mcq,Knowledge Access / Ignorance,0.849,10,13
tom_12dim_mcq,Sarcasm,0.854,10,13
tom_12dim_mcq,Second-Order False Belief,0.9241,14,13
tom_12dim_mcq,White Lies / Prosocial Deception,0.698,10,13
